MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,77.48,,3.96
2024-06-30,69.64,$19.56,3.56
2024-03-31,72.97,$18.60,3.92
2023-12-31,64.6,$18.00,3.59
2023-09-30,60.92,$14.01,4.35
2023-06-30,54.3,$14.81,3.67
2023-03-31,55.12,$16.26,3.39
2022-12-31,68.36,$16.13,4.24
2022-09-30,57.03,$19.19,2.97
2022-06-30,58.45,$17.84,3.28
2022-03-31,64.93,$14.98,4.33
2021-12-31,57.33,$14.20,4.04
2021-09-30,56.21,$14.07,3.99
2021-06-30,54.07,$14.06,3.85
2021-03-31,54.53,$12.41,4.39
2020-12-31,41.74,$12.75,3.28
2020-09-30,32.66,$12.51,2.61
2020-06-30,31.7,$12.87,2.46
2020-03-31,26.18,$14.45,1.81
2019-12-31,43.27,$14.60,2.96
2019-09-30,39.67,$10.34,3.84
2019-06-30,41.38,$9.51,4.35
2019-03-31,35.14,$12.49,2.81
2018-12-31,33.58,$11.58,2.9
2018-09-30,37.86,$12.27,3.09
2018-06-30,35.0,$13.05,2.68
2018-03-31,36.51,$10.72,3.41
2017-12-31,39.89,$11.39,3.5
2017-09-30,40.69,$14.65,2.78
2017-06-30,38.19,$12.82,2.98
2017-03-31,36.44,$13.51,2.7
2016-12-31,36.89,$13.33,2.77
2016-09-30,30.16,$12.25,2.46
2016-06-30,26.77,$11.94,2.24
2016-03-31,29.25,$11.81,2.48
2015-12-31,31.81,$12.45,2.55
2015-09-30,30.88,$13.17,2.35
2015-06-30,36.43,$14.38,2.53
2015-03-31,32.65,$14.52,2.25
2014-12-31,34.69,$14.33,2.42
2014-09-30,34.23,$15.11,2.27
2014-06-30,35.17,$13.90,2.53
2014-03-31,33.19,$14.15,2.34
2013-12-31,33.7,$14.45,2.33
2013-09-30,29.17,$10.52,2.77
2013-06-30,28.28,$11.23,2.52
2013-03-31,23.34,$13.00,1.8
2012-12-31,20.12,$15.94,1.26
2012-09-30,20.58,$15.50,1.33
2012-06-30,18.42,$14.59,1.26
2012-03-31,22.31,$11.76,1.9
2011-12-31,18.62,$9.62,1.94
2011-09-30,16.37,$11.57,1.42
2011-06-30,25.64,$10.58,2.42
2011-03-31,26.14,$8.78,2.98
2010-12-31,25.97,$8.98,2.89
2010-09-30,22.08,$7.22,3.06
2010-06-30,21.69,$10.87,2.0
2010-03-31,24.89,$9.33,2.67
2009-12-31,20.3,$4.65,4.37
