CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,57.24,,202.98
2024-06-30,58.39,$0.28,207.07
2023-12-31,76.64,$8.06,9.51
2023-09-30,67.19,$17.66,3.8
2023-06-30,65.99,$19.31,3.42
2023-03-31,70.36,$21.69,3.24
2022-12-31,87.63,$20.51,4.27
2024-03-31,78.12,$15.55,5.02
2022-09-30,89.14,$14.80,6.02
2022-06-30,86.1,$7.34,11.73
2022-03-31,93.55,$5.70,16.42
2021-12-31,94.84,$4.82,19.68
2021-09-30,77.57,$7.33,10.58
2020-12-31,61.24,$10.22,5.99
2020-09-30,51.93,$10.41,4.99
2020-06-30,57.32,$8.61,6.66
2020-03-31,51.91,$5.31,9.78
2019-12-31,64.57,$7.02,9.2
2021-06-30,75.82,$5.59,13.55
2019-09-30,54.4,$8.09,6.72
2019-06-30,46.58,$6.85,6.8
2019-03-31,45.67,$5.65,8.09
2018-12-31,55.06,$6.54,8.42
2018-09-30,65.7,$4.16,15.81
2018-06-30,53.3,$5.70,9.35
2018-03-31,51.13,$4.81,10.64
2017-12-31,59.22,$5.95,9.96
2017-09-30,66.0,$7.96,8.29
2017-06-30,64.88,$9.10,7.13
2017-03-31,62.89,$8.64,7.28
2016-12-31,62.84,$7.34,8.56
2016-09-30,70.52,$9.95,7.09
2016-06-30,75.54,$8.30,9.1
2016-03-31,81.5,$8.35,9.76
2015-12-31,76.47,$7.14,10.71
2021-03-31,67.91,$4.57,14.84
2015-09-30,75.21,$5.33,14.1
2015-06-30,81.5,$5.13,15.89
2015-03-31,79.93,$5.02,15.91
2014-12-31,74.32,$5.14,14.45
2014-09-30,61.21,$3.58,17.11
2014-06-30,57.76,$3.59,16.09
2014-03-31,57.16,$3.58,15.98
2013-12-31,54.42,$3.14,17.32
2013-09-30,42.99,$3.19,13.49
2013-06-30,43.16,$2.57,16.77
2013-03-31,41.35,$2.87,14.4
2012-12-31,36.2,$3.64,9.93
2012-09-30,36.12,$2.92,12.37
2012-06-30,34.74,$3.71,9.35
2012-03-31,33.18,$3.66,9.07
2011-12-31,30.09,$2.96,10.16
2011-09-30,24.69,$3.74,6.61
2011-06-30,27.54,$3.15,8.73
2011-03-31,25.06,$2.71,9.24
2010-12-31,25.3,$2.04,12.4
2010-09-30,22.83,$1.90,12.03
2010-06-30,21.21,$1.50,14.12
2010-03-31,26.38,$1.31,20.2
2009-12-31,23.19,$1.04,22.26
