Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.68,,19.75
2024-06-30,31.11,$1.76,17.72
2024-03-31,44.11,$2.24,19.69
2023-12-31,38.05,$2.83,13.45
2023-09-30,32.64,$3.27,9.97
2023-06-30,26.89,$2.91,9.23
2023-03-31,25.77,$2.25,11.44
2022-12-31,22.43,$1.13,19.83
2022-09-30,25.4,$0.46,55.62
2022-06-30,31.8,$0.31,101.23
2022-03-31,30.18,$0.29,102.52
2021-12-31,38.08,$1.22,31.18
2021-09-30,34.29,$1.89,18.13
2021-06-30,33.09,$2.16,15.3
2021-03-31,36.88,$1.91,19.27
2020-12-31,32.05,$1.74,18.44
2020-09-30,20.13,$1.18,17.03
2020-06-30,17.17,$0.74,23.13
2020-03-31,14.72,$1.37,10.72
2019-12-31,19.68,$1.63,12.07
2019-09-30,17.13,$1.44,11.9
2019-06-30,17.14,$0.15,112.05
2019-03-31,17.42,$-0.52,0.0
2018-12-31,18.27,$-0.71,0.0
2018-09-30,19.72,$-0.30,0.0
2018-06-30,20.49,$1.18,17.42
2018-03-31,16.5,$1.65,10.0
2017-12-31,18.3,$1.15,15.93
2017-09-30,14.49,$0.87,16.75
2017-06-30,10.26,$0.09,111.39
2017-03-31,6.01,$-0.27,0.0
2016-12-31,4.73,$-1.59,0.0
2016-09-30,4.24,$0.60,7.11
2016-06-30,4.54,$0.73,6.21
2016-03-31,4.67,$0.87,5.35
2015-12-31,4.58,$3.23,1.42
2015-09-30,3.99,$0.50,7.91
2015-06-30,4.6,$0.65,7.13
2014-12-31,7.19,$-0.17,0.0
2014-09-30,6.64,$0.03,225.91
2014-06-30,7.65,$0.30,25.61
2014-03-31,7.94,$1.23,6.46
2013-12-31,5.99,$1.95,3.07
2015-03-31,6.51,$0.45,14.49
2013-09-30,4.94,$1.45,3.4
2013-06-30,5.01,$0.17,28.8
2013-03-31,5.27,$1.02,5.19
2012-12-31,5.14,$1.71,3.01
2012-09-30,6.14,$0.12,50.5
2012-06-30,6.14,$1.34,4.59
2012-03-31,8.76,$0.34,25.45
2011-12-31,8.53,$0.16,53.63
2011-09-30,6.61,$3.21,2.06
2011-06-30,7.76,$1.85,4.2
2011-03-31,7.02,$1.88,3.73
2010-12-31,7.33,$1.07,6.85
2010-09-30,6.38,$-1.53,0.0
2010-06-30,7.83,$-0.64,0.0
2010-03-31,11.3,$-0.09,0.0
2009-12-31,8.16,$-0.38,0.0
