Dyne Therapeutics Price to Free Cash Flow Ratio Historical Data,Dyne Therapeutics Price to Free Cash Flow Ratio Historical Data,Dyne Therapeutics Price to Free Cash Flow Ratio Historical Data,Dyne Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.73,,0.0
2024-06-30,35.29,$-2.90,0.0
2024-03-31,28.39,$-3.30,0.0
2023-12-31,13.3,$-3.16,0.0
2023-09-30,8.96,$-3.08,0.0
2023-06-30,11.25,$-3.13,0.0
2023-03-31,11.52,$-2.84,0.0
2022-12-31,11.59,$-3.02,0.0
2022-09-30,12.7,$-3.06,0.0
2022-06-30,6.87,$-2.76,0.0
2022-03-31,9.64,$-3.06,0.0
2021-12-31,11.89,$-2.42,0.0
2021-09-30,16.24,$-1.24,0.0
2021-06-30,21.04,$-4.59,0.0
