Alkermes Price to Free Cash Flow Ratio Historical Data,Alkermes Price to Free Cash Flow Ratio Historical Data,Alkermes Price to Free Cash Flow Ratio Historical Data,Alkermes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.33,,14.63
2024-06-30,24.1,$1.94,12.44
2024-03-31,27.07,$2.33,11.62
2023-12-31,27.74,$2.08,13.31
2023-09-30,28.01,$1.48,18.98
2023-06-30,31.3,$0.92,33.96
2023-03-31,28.19,$-0.36,0.0
2022-12-31,26.13,$-0.11,0.0
2022-09-30,22.33,$0.08,281.94
2022-06-30,29.79,$0.62,48.03
2022-03-31,26.31,$0.27,95.81
2021-12-31,23.26,$0.58,39.94
2021-09-30,30.84,$0.79,38.93
2021-06-30,24.52,$0.22,112.22
2020-12-31,19.95,$0.26,76.76
2020-09-30,16.57,$0.08,197.5
2020-06-30,19.41,$-0.59,0.0
2020-03-31,14.42,$-0.42,0.0
2019-12-31,20.4,$-0.28,0.0
2021-03-31,18.68,$-0.51,0.0
2019-09-30,19.51,$0.10,197.87
2019-06-30,22.54,$0.13,172.06
2019-03-31,36.49,$0.48,76.26
2018-12-31,29.51,$0.20,150.79
2018-09-30,42.44,$0.04,1143.94
2018-06-30,41.16,$-0.03,0.0
2018-03-31,57.96,$-0.35,0.0
2017-12-31,54.73,$-0.21,0.0
2017-09-30,50.84,$-0.34,0.0
2017-06-30,57.97,$-0.36,0.0
2017-03-31,58.5,$-0.40,0.0
2016-12-31,55.58,$-0.71,0.0
2016-09-30,47.03,$-0.78,0.0
2016-06-30,43.22,$-1.08,0.0
2016-03-31,34.19,$-1.02,0.0
2015-12-31,79.38,$-0.62,0.0
2015-09-30,58.67,$-0.32,0.0
2015-06-30,64.34,$-0.16,0.0
2015-03-31,60.97,$0.16,390.08
2014-12-31,58.56,$0.15,389.36
2014-09-30,42.87,$-0.23,0.0
2014-06-30,50.33,$0.16,312.22
2014-03-31,44.09,$0.10,445.8
2013-12-31,40.66,$0.50,81.24
2013-09-30,33.62,$0.84,40.24
2013-06-30,28.68,$0.89,32.07
2013-03-31,23.7,$0.75,31.39
2012-12-31,18.52,$0.42,44.39
2012-09-30,20.75,$0.24,86.31
2012-06-30,16.97,$-0.09,0.0
2012-03-31,18.55,$-0.21,0.0
2011-12-31,17.36,$-0.21,0.0
2011-09-30,15.25,$-0.07,0.0
2011-06-30,18.6,$-0.25,0.0
2011-03-31,12.95,$-0.23,0.0
2010-12-31,12.28,$-0.23,0.0
2010-09-30,14.65,$-0.34,0.0
2010-06-30,12.45,$-0.22,0.0
2010-03-31,12.97,$-0.22,0.0
2009-12-31,9.41,$-0.22,0.0
