Uniti Group Price to Free Cash Flow Ratio Historical Data,Uniti Group Price to Free Cash Flow Ratio Historical Data,Uniti Group Price to Free Cash Flow Ratio Historical Data,Uniti Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.72,,0.0
2024-06-30,2.92,$-0.25,0.0
2024-03-31,5.59,$-0.24,0.0
2023-12-31,5.34,$-0.25,0.0
2023-09-30,4.25,$-0.56,0.0
2023-06-30,4.04,$-0.24,0.0
2023-03-31,3.0,$-0.16,0.0
2022-12-31,4.48,$0.15,29.68
2022-09-30,5.49,$0.11,48.9
2022-06-30,7.32,$0.09,83.6
2022-03-31,10.53,$0.37,28.12
2021-12-31,10.61,$0.67,15.74
2021-09-30,9.26,$0.21,44.09
2021-06-30,7.83,$0.27,29.13
2021-03-31,8.05,$1.03,7.85
2020-12-31,8.44,$1.14,7.41
2020-09-30,7.48,$1.32,5.65
2020-06-30,6.54,$2.75,2.38
2020-03-31,4.15,$1.82,2.28
2019-12-31,5.51,$2.12,2.6
2019-09-30,5.07,$1.95,2.6
2019-06-30,6.16,$0.91,6.73
2019-03-31,7.22,$0.28,26.13
2018-12-31,10.0,$0.28,35.96
2018-09-30,12.46,$0.71,17.58
2018-06-30,12.03,$0.92,13.13
2018-03-31,9.47,$1.29,7.35
2017-12-31,10.0,$1.42,7.06
2017-09-30,7.98,$1.65,4.85
2017-06-30,13.14,$1.93,6.81
2017-03-31,13.2,$2.16,6.12
2016-12-31,12.68,$2.24,5.67
2016-09-30,15.31,$3.54,4.32
2016-06-30,13.83,$2.85,4.85
2016-03-31,10.42,$2.47,4.22
