PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.01,,13.27
2024-06-30,64.11,$5.65,11.34
2024-03-31,65.73,$8.56,7.68
2023-12-31,66.91,$7.13,9.39
2023-09-30,53.07,$7.39,7.18
2023-06-30,44.77,$6.42,6.97
2023-03-31,44.54,$3.19,13.98
2022-12-31,46.38,$0.98,47.52
2022-09-30,44.32,$2.07,21.45
2022-06-30,43.29,$0.28,154.67
2022-03-31,51.49,$0.12,412.58
2021-12-31,42.39,$1.80,23.52
2021-09-30,42.36,$-0.38,0.0
2021-06-30,44.52,$-1.60,0.0
2021-03-31,44.63,$-0.43,0.0
2020-12-31,45.21,$0.95,47.5
2020-09-30,39.25,$1.08,36.39
2020-06-30,44.32,$4.40,10.08
2020-03-31,39.4,$1.49,26.42
2019-12-31,47.47,$0.41,114.95
2019-09-30,36.96,$0.74,50.17
2019-06-30,33.23,$0.87,38.34
2019-03-31,34.84,$1.68,20.74
2018-12-31,28.25,$2.44,11.56
2018-09-30,36.54,$1.96,18.65
2018-06-30,31.2,$1.99,15.69
2018-03-31,23.49,$0.59,40.07
2017-12-31,24.63,$0.28,88.12
2017-09-30,26.15,$0.41,63.72
2017-06-30,25.1,$-0.14,0.0
2017-03-31,27.64,$0.90,30.67
2016-12-31,26.06,$0.81,32.08
2016-09-30,24.21,$1.28,18.85
2016-06-30,21.81,$0.71,30.57
2016-03-31,23.66,$0.79,30.1
2015-12-31,20.75,$0.70,29.81
2015-09-30,18.66,$0.74,25.22
2015-06-30,22.27,$0.80,27.98
2015-03-31,23.49,$0.92,25.58
2014-12-31,22.1,$1.05,21.08
2014-09-30,19.0,$-0.04,0.0
2014-06-30,18.3,$0.25,72.87
2014-03-31,17.98,$0.64,28.03
2013-12-31,21.99,$0.46,48.14
2013-09-30,13.12,$1.53,8.59
2013-06-30,13.43,$0.61,21.92
2013-03-31,14.22,$0.96,14.78
2012-12-31,10.0,$2.27,4.4
2012-09-30,9.66,$1.00,9.63
2012-06-30,8.92,$0.92,9.64
2012-03-31,6.9,$0.37,18.89
2011-12-31,9.31,$-0.60,0.0
2011-09-30,6.46,$0.31,21.07
2011-06-30,6.7,$0.51,13.23
2011-03-31,7.17,$0.25,28.32
2010-12-31,7.17,$-0.27,0.0
2010-09-30,5.53,$-0.76,0.0
2010-06-30,4.91,$-0.55,0.0
2010-03-31,5.02,$-0.30,0.0
2009-12-31,5.46,$0.01,0.0
