John Wiley & Sons Price to Free Cash Flow Ratio Historical Data,John Wiley & Sons Price to Free Cash Flow Ratio Historical Data,John Wiley & Sons Price to Free Cash Flow Ratio Historical Data,John Wiley & Sons Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.55,,25.16
2024-07-31,47.41,$2.01,23.6
2024-04-30,37.01,$2.05,18.07
2024-01-31,33.03,$2.89,11.44
2023-10-31,29.23,$3.20,9.15
2023-07-31,32.72,$-2.58,0.0
2023-04-30,36.48,$1.91,19.07
2023-01-31,42.92,$1.79,23.97
2022-10-31,39.19,$-0.39,0.0
2022-04-30,46.49,$4.00,11.61
2022-01-31,46.06,$8.02,5.75
2021-10-31,48.86,$2.36,20.67
2021-07-31,52.67,$6.31,8.35
2021-04-30,50.74,$8.54,5.94
2022-07-31,48.06,$-0.63,0.0
2021-01-31,40.39,$4.40,9.17
2020-10-31,27.21,$3.62,7.51
2020-07-31,29.43,$2.26,13.0
2020-04-30,32.36,$3.08,10.5
2020-01-31,37.25,$2.96,12.58
2019-10-31,39.07,$2.66,14.71
2019-07-31,38.3,$3.73,10.26
2019-04-30,38.58,$2.58,14.95
2019-01-31,42.94,$2.31,18.61
2018-10-31,44.66,$3.21,13.9
2018-07-31,51.71,$3.11,16.6
2018-04-30,53.72,$4.00,13.43
2018-01-31,51.38,$1.65,31.13
2017-10-31,44.08,$3.23,13.63
2017-07-31,44.29,$3.53,12.54
2017-04-30,41.99,$2.86,14.7
2017-01-31,43.65,$5.52,7.91
2016-10-31,40.65,$4.25,9.56
2016-07-31,45.18,$-3.78,0.0
2016-04-30,38.6,$1.93,20.03
2016-01-31,32.33,$2.89,11.2
2015-10-31,40.21,$-0.99,0.0
2015-04-30,43.22,$4.80,9.0
2015-01-31,46.85,$9.15,5.12
2014-10-31,43.94,$2.81,15.62
2014-07-31,44.98,$6.43,7.0
2014-04-30,42.81,$8.00,5.35
2015-07-31,40.5,$-0.54,0.0
2014-01-31,40.16,$4.55,8.83
2013-10-31,37.13,$5.04,7.37
2013-07-31,33.15,$4.99,6.65
2013-04-30,27.86,$4.62,6.03
2013-01-31,27.79,$3.51,7.91
2012-10-31,31.29,$4.17,7.5
2012-07-31,34.19,$4.31,7.93
2012-04-30,32.26,$5.10,6.33
2012-01-31,32.27,$4.86,6.64
2011-10-31,33.66,$4.20,8.02
2011-07-31,35.27,$4.90,7.2
2011-04-30,35.75,$5.24,6.83
2011-01-31,32.15,$3.70,8.7
2010-10-31,30.09,$4.12,7.3
2010-07-31,27.35,$4.35,6.29
2010-04-30,29.23,$4.47,6.54
2010-01-31,28.78,$5.33,5.4
2009-10-31,24.2,$3.85,6.28
