Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,58.47,,64.36
2024-06-30,58.94,$0.91,64.88
2024-03-31,57.2,$2.30,24.84
2023-12-31,48.23,$8.81,5.47
2023-09-30,39.69,$5.97,6.65
2022-12-31,39.23,$7.05,5.56
2022-09-30,37.96,$0.58,65.69
2022-06-30,36.71,$3.22,11.4
2022-03-31,45.17,$0.01,3613.54
2021-12-31,44.52,$-1.98,0.0
2023-06-30,41.14,$1.79,23.04
2021-09-30,42.89,$-9.50,0.0
2021-06-30,41.68,$-10.41,0.0
2021-03-31,35.88,$-4.51,0.0
2020-12-31,27.63,$0.50,55.7
2020-09-30,21.43,$8.82,2.43
2020-06-30,23.24,$8.03,2.89
2020-03-31,25.54,$3.96,6.44
2019-12-31,47.36,$1.52,31.14
2019-09-30,43.99,$1.80,24.48
2019-06-30,40.82,$6.14,6.65
2019-03-31,41.29,$6.10,6.77
2018-12-31,39.01,$7.46,5.23
2018-09-30,44.14,$4.40,10.03
2018-06-30,46.22,$4.90,9.44
2018-03-31,43.37,$4.21,10.3
2017-12-31,49.9,$3.71,13.45
2017-09-30,45.05,$4.62,9.76
2017-06-30,44.94,$2.22,20.21
2017-03-31,44.83,$-0.26,0.0
2016-12-31,44.09,$-3.62,0.0
2016-09-30,35.13,$-0.91,0.0
2016-06-30,37.25,$-0.76,0.0
2015-12-31,42.12,$3.05,13.8
2015-09-30,39.52,$5.17,7.65
2015-06-30,43.0,$3.46,12.44
2015-03-31,41.31,$6.61,6.25
2014-12-31,41.36,$5.52,7.49
2023-03-31,35.74,$4.70,7.6
2014-09-30,38.88,$5.46,7.12
2014-06-30,39.12,$6.55,5.97
2014-03-31,36.76,$9.56,3.85
2013-12-31,33.33,$10.73,3.11
2013-09-30,30.12,$9.60,3.14
2013-06-30,29.88,$8.46,3.53
2013-03-31,26.57,$11.50,2.31
2012-12-31,24.38,$10.94,2.23
2012-09-30,24.47,$12.35,1.98
2012-06-30,23.54,$5.03,4.68
2016-03-31,37.77,$1.34,28.17
2012-03-31,23.88,$2.32,10.29
2011-12-31,19.14,$2.57,7.46
2011-09-30,16.67,$6.35,2.63
2011-06-30,19.31,$5.72,3.38
2011-03-31,21.73,$5.09,4.27
2010-12-31,21.16,$3.57,5.93
2010-09-30,17.12,$5.23,3.27
2010-06-30,17.41,$5.51,3.16
2010-03-31,21.14,$4.23,4.99
2009-12-31,18.3,$6.27,2.92
