Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.23,,9.73
2024-06-30,14.31,$1.57,9.14
2024-03-31,15.94,$1.54,10.37
2023-12-31,15.93,$1.43,11.17
2023-09-30,14.45,$1.41,10.22
2023-06-30,14.02,$1.42,9.86
2023-03-31,14.17,$1.40,10.15
2022-12-31,14.19,$1.39,10.24
2022-09-30,12.34,$1.37,9.04
2022-06-30,12.74,$2.16,5.91
2022-03-31,15.47,$1.95,7.92
2021-12-31,13.87,$1.90,7.29
2021-09-30,13.5,$1.64,8.23
2021-06-30,13.09,$0.36,36.0
2021-03-31,12.49,$-0.02,0.0
2020-12-31,11.06,$0.15,75.67
2020-09-30,8.23,$0.27,30.76
2020-06-30,8.27,$0.75,11.1
2020-03-31,7.85,$1.29,6.08
2019-12-31,13.63,$1.65,8.28
2019-09-30,13.65,$1.90,7.19
2019-06-30,12.81,$1.94,6.61
2019-03-31,12.93,$1.97,6.58
2018-12-31,11.17,$1.51,7.42
2018-09-30,13.45,$1.65,8.15
2018-06-30,13.6,$1.73,7.85
2018-03-31,13.07,$1.78,7.33
2017-12-31,14.36,$1.75,8.23
2017-09-30,13.63,$1.63,8.36
2017-06-30,13.34,$1.42,9.38
2017-03-31,13.4,$1.36,9.88
2016-12-31,13.8,$1.45,9.55
2016-09-30,12.59,$1.25,10.03
2016-06-30,12.59,$1.38,9.13
2016-03-31,13.05,$2.57,5.08
