Syndax Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syndax Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syndax Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syndax Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.89,,0.0
2024-06-30,20.53,$-3.03,0.0
2024-03-31,23.8,$-2.70,0.0
2023-12-31,21.61,$-2.28,0.0
2023-09-30,14.52,$-2.08,0.0
2023-06-30,20.93,$-1.90,0.0
2023-03-31,21.12,$-2.05,0.0
2022-12-31,25.45,$-2.20,0.0
2022-09-30,24.03,$0.10,249.79
2022-06-30,19.24,$2.53,7.61
2022-03-31,17.38,$0.27,64.73
2021-12-31,21.89,$0.54,40.47
2021-09-30,19.11,$-1.84,0.0
2021-06-30,17.17,$-4.16,0.0
2021-03-31,22.36,$-1.70,0.0
2020-12-31,22.24,$-1.73,0.0
2020-09-30,14.76,$-1.72,0.0
2020-06-30,14.82,$-1.65,0.0
2020-03-31,10.97,$-1.50,0.0
2019-12-31,8.78,$-1.66,0.0
2019-09-30,7.47,$-1.80,0.0
2019-06-30,9.31,$-2.21,0.0
2019-03-31,5.25,$-2.51,0.0
2018-12-31,4.45,$-2.71,0.0
2018-09-30,8.08,$-2.81,0.0
2018-06-30,7.02,$-2.43,0.0
2018-03-31,14.23,$-2.38,0.0
2017-12-31,8.76,$-2.26,0.0
2017-09-30,11.7,$-2.59,0.0
2017-06-30,13.97,$-2.92,0.0
2017-03-31,13.72,$-1.68,0.0
2016-12-31,7.17,$-2.42,0.0
