Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.92,,9.18
2024-06-30,17.85,$2.39,7.48
2024-03-31,17.64,$1.56,11.31
2023-12-31,18.64,$1.18,15.81
2023-09-30,18.56,$2.29,8.09
2023-03-31,20.38,$2.40,8.48
2022-12-31,19.43,$3.09,6.29
2022-09-30,16.5,$4.95,3.33
2022-06-30,22.09,$3.36,6.58
2022-03-31,25.91,$3.68,7.04
2021-12-31,28.09,$3.76,7.47
2021-09-30,29.46,$4.36,6.76
2021-06-30,27.04,$5.20,5.2
2021-03-31,25.54,$5.26,4.86
2020-12-31,23.65,$4.81,4.92
2020-09-30,20.54,$4.79,4.29
2020-06-30,21.51,$3.90,5.52
2020-03-31,15.71,$4.42,3.56
2019-12-31,21.8,$4.84,4.5
2019-09-30,23.79,$4.99,4.77
2019-06-30,26.53,$5.15,5.15
2019-03-31,24.21,$1.12,21.63
2018-12-31,20.64,$1.96,10.54
2018-09-30,28.16,$1.37,20.54
2018-06-30,26.61,$2.58,10.31
2017-12-31,33.84,$5.26,6.44
2017-09-30,32.7,$7.74,4.23
2017-06-30,31.18,$7.38,4.23
2017-03-31,35.04,$5.89,5.95
2016-12-31,29.7,$6.30,4.71
2018-03-31,30.43,$2.91,10.46
2016-09-30,33.04,$3.25,10.17
2016-06-30,28.65,$3.72,7.71
2016-03-31,37.56,$3.51,10.69
2015-12-31,40.77,$3.81,10.71
2015-09-30,41.02,$3.59,11.44
2015-06-30,50.63,$3.29,15.38
2015-03-31,49.81,$3.73,13.37
2014-12-31,48.31,$3.65,13.22
2014-09-30,41.02,$3.86,10.63
2014-06-30,42.31,$3.46,12.23
2014-03-31,40.71,$2.77,14.68
2013-12-31,42.16,$2.16,19.55
2013-09-30,37.72,$1.17,32.11
2013-06-30,33.95,$0.87,39.01
2013-03-31,34.32,$1.04,33.06
2012-12-31,29.38,$1.97,14.94
2012-09-30,28.26,$3.16,8.93
2012-06-30,23.88,$3.22,7.42
2012-03-31,23.95,$3.29,7.29
2011-12-31,19.76,$3.09,6.39
2011-09-30,17.31,$3.09,5.6
2011-06-30,21.35,$2.84,7.51
2011-03-31,20.0,$1.88,10.64
2010-12-31,16.95,$2.53,6.7
2010-09-30,15.28,$3.79,4.04
2010-06-30,13.0,$5.19,2.5
2010-03-31,14.45,$7.14,2.02
2009-12-31,10.93,$6.70,1.63
2009-09-30,11.23,$4.63,2.43
