Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.56,,3.21
2024-06-30,26.22,$9.52,2.75
2024-03-31,24.34,$8.93,2.73
2023-12-31,21.27,$8.23,2.58
2023-09-30,17.35,$7.81,2.22
2023-06-30,17.68,$7.67,2.3
2023-03-31,16.92,$7.28,2.32
2022-12-31,16.22,$7.13,2.27
2022-09-30,14.05,$7.92,1.77
2022-06-30,15.31,$8.47,1.81
2022-03-31,18.59,$8.94,2.08
2021-12-31,16.4,$9.49,1.73
2021-09-30,16.31,$9.05,1.8
2021-06-30,16.52,$8.41,1.96
2021-03-31,17.83,$7.46,2.39
2020-12-31,14.62,$7.70,1.9
2020-09-30,11.26,$7.48,1.5
2020-06-30,10.87,$7.65,1.42
2020-03-31,9.85,$8.22,1.2
2019-12-31,15.75,$7.89,2.0
2019-09-30,14.11,$7.64,1.85
2019-06-30,13.82,$7.69,1.8
2019-03-31,12.72,$7.41,1.72
2018-12-31,10.55,$7.45,1.42
2018-09-30,13.15,$7.39,1.78
2018-06-30,13.09,$7.19,1.82
2018-03-31,13.42,$7.23,1.86
2017-12-31,14.93,$6.91,2.16
2017-09-30,14.41,$6.85,2.1
2017-06-30,13.22,$6.92,1.91
2017-03-31,12.39,$6.73,1.84
2016-12-31,12.34,$6.51,1.9
2016-09-30,9.7,$6.53,1.48
2016-06-30,9.29,$8.92,1.04
2016-03-31,9.51,$5.10,1.86
2015-12-31,9.97,$4.10,2.43
2015-09-30,10.23,$-19.21,0.0
2015-06-30,12.19,$0.26,47.68
2015-03-31,11.07,$2.53,4.38
2014-12-31,12.34,$3.29,3.75
2014-09-30,12.35,$25.58,0.48
2014-06-30,12.66,$2.76,4.58
2014-03-31,12.23,$6.23,1.96
2013-12-31,12.42,$4.94,2.51
2013-09-30,10.35,$10.81,0.96
2013-06-30,9.94,$5.58,1.78
2013-03-31,9.06,$4.14,2.19
2012-12-31,8.29,$6.04,1.37
2012-09-30,7.27,$1.10,6.63
2012-06-30,6.5,$5.93,1.1
2012-03-31,8.0,$0.31,25.89
2011-12-31,6.21,$0.22,28.86
2011-09-30,6.55,$3.57,1.83
2011-06-30,10.11,$1.44,7.02
2010-12-31,9.69,$6.33,1.53
2010-09-30,7.06,$6.21,1.14
2010-06-30,8.07,$15.15,0.53
2010-03-31,10.82,$6.40,1.69
2009-12-31,10.01,$6.36,1.57
2009-09-30,11.36,$5.20,2.19
