Mercury Systems Inc Price to Free Cash Flow Ratio Historical Data,Mercury Systems Inc Price to Free Cash Flow Ratio Historical Data,Mercury Systems Inc Price to Free Cash Flow Ratio Historical Data,Mercury Systems Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.39,,76.1
2024-06-30,26.99,$0.45,59.73
2024-03-31,29.5,$-0.55,0.0
2023-12-31,36.57,$-0.32,0.0
2023-09-30,37.09,$-0.57,0.0
2023-06-30,34.59,$-1.06,0.0
2023-03-31,51.12,$-1.62,0.0
2022-12-31,44.74,$-1.59,0.0
2022-09-30,40.6,$-2.01,0.0
2022-06-30,64.33,$-0.83,0.0
2022-03-31,64.45,$-0.04,0.0
2021-12-31,55.06,$0.38,145.85
2021-09-30,47.42,$0.58,81.52
2021-06-30,66.28,$0.93,71.19
2021-03-31,70.65,$0.95,74.43
2020-12-31,88.06,$1.06,83.19
2020-09-30,77.46,$1.25,61.81
2020-06-30,78.66,$1.30,60.3
2020-03-31,71.34,$1.33,53.53
2019-12-31,69.11,$1.38,50.04
2019-09-30,81.17,$1.39,58.58
2019-06-30,70.35,$1.46,48.18
2019-03-31,64.08,$1.52,42.17
2018-12-31,47.29,$1.23,38.59
2018-09-30,55.32,$0.94,59.09
2018-06-30,38.06,$0.70,54.29
2017-12-31,51.35,$0.54,95.75
2017-09-30,51.88,$0.60,86.77
2017-06-30,42.09,$0.61,68.84
2017-03-31,39.05,$0.79,49.14
2016-12-31,30.22,$0.63,47.7
2016-09-30,24.57,$0.79,30.96
2016-06-30,24.86,$0.83,30.03
2016-03-31,20.3,$0.85,23.85
2015-12-31,18.36,$1.01,18.25
2015-09-30,15.91,$0.90,17.73
2015-06-30,14.64,$0.80,18.39
2015-03-31,15.55,$0.51,30.35
2014-12-31,13.92,$0.32,44.05
2014-09-30,11.01,$0.25,44.45
2014-06-30,11.34,$0.24,46.63
2014-03-31,13.21,$0.34,38.5
2013-12-31,10.95,$0.35,31.16
2013-09-30,9.99,$0.24,42.48
2013-06-30,9.22,$-0.17,0.0
2013-03-31,7.37,$-0.25,0.0
2012-12-31,9.2,$0.02,448.78
2012-09-30,10.62,$0.29,36.04
2012-06-30,12.93,$0.75,17.33
2012-03-31,13.25,$0.93,14.28
2011-12-31,13.29,$0.68,19.65
2011-09-30,11.5,$0.62,18.59
2011-06-30,18.68,$0.86,21.62
2011-03-31,21.16,$0.69,30.78
2010-12-31,18.38,$0.72,25.39
2010-09-30,12.03,$0.62,19.51
2010-06-30,11.73,$0.36,32.23
2010-03-31,13.72,$0.39,35.29
2009-12-31,11.01,$0.39,27.95
2009-09-30,9.86,$0.39,25.01
