Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.36,,21.3
2024-06-30,16.67,$1.14,14.57
2024-03-31,12.76,$1.00,12.82
2023-12-31,11.33,$0.91,12.39
2023-09-30,12.34,$0.10,121.45
2023-06-30,13.12,$-0.95,0.0
2023-03-31,14.54,$-1.44,0.0
2022-12-31,12.63,$-1.49,0.0
2022-09-30,12.4,$-0.88,0.0
2022-06-30,17.7,$-0.13,0.0
2022-03-31,18.34,$0.02,830.06
2021-12-31,18.67,$0.34,54.33
2021-09-30,19.59,$0.52,37.63
2021-06-30,26.13,$0.47,55.75
2021-03-31,21.98,$0.42,52.97
2020-12-31,17.4,$0.66,26.33
2020-09-30,15.5,$0.76,20.36
2020-06-30,23.26,$0.62,37.24
2020-03-31,21.3,$0.90,23.79
2019-12-31,21.78,$0.62,35.06
2019-09-30,18.62,$0.27,69.89
2019-06-30,27.57,$0.43,64.66
2019-03-31,28.52,$0.42,67.54
2018-12-31,27.68,$0.69,40.36
2018-09-30,36.79,$1.16,31.68
2018-06-30,39.41,$1.27,30.93
2018-03-31,33.9,$1.36,24.87
2017-12-31,28.54,$1.71,16.73
2017-09-30,31.47,$1.54,20.41
2017-06-30,31.38,$1.94,16.21
2017-03-31,23.73,$2.21,10.76
2016-12-31,24.66,$1.25,19.69
2016-09-30,22.79,$0.67,33.85
2016-06-30,15.59,$0.02,718.29
2016-03-31,22.47,$-0.07,0.0
2015-12-31,24.95,$0.47,53.38
2015-09-30,26.11,$0.62,42.0
2015-06-30,32.05,$1.22,26.23
2015-03-31,29.06,$0.21,140.68
