SiteOne Landscape Supply Price to Free Cash Flow Ratio Historical Data,SiteOne Landscape Supply Price to Free Cash Flow Ratio Historical Data,SiteOne Landscape Supply Price to Free Cash Flow Ratio Historical Data,SiteOne Landscape Supply Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,145.87,,31.34
2024-06-30,121.41,$4.65,26.09
2024-03-31,174.55,$7.04,24.78
2023-12-31,162.5,$5.87,27.69
2023-09-30,163.45,$5.81,28.11
2023-06-30,167.36,$6.94,24.13
2023-03-31,136.87,$3.40,40.21
2022-12-31,117.32,$4.20,27.93
2022-09-30,104.14,$3.01,34.64
2022-06-30,118.87,$1.41,84.48
2022-03-31,161.69,$2.34,69.09
2021-12-31,242.28,$3.94,61.48
2021-09-30,199.47,$3.98,50.08
2021-06-30,169.26,$3.93,43.08
2021-03-31,170.74,$5.35,31.93
2020-12-31,158.63,$4.80,33.02
2020-09-30,121.95,$5.30,23.02
2020-06-30,113.97,$5.74,19.87
2020-03-31,73.62,$2.29,32.2
2019-12-31,90.65,$2.63,34.51
2019-09-30,74.02,$1.93,38.32
2019-06-30,69.3,$1.86,37.29
2019-03-31,57.15,$1.29,44.22
2018-12-31,55.27,$1.56,35.33
2018-09-30,75.34,$1.41,53.37
2018-06-30,83.97,$0.10,830.56
2018-03-31,77.04,$0.44,175.89
2017-12-31,76.7,$0.05,1540.16
2017-09-30,58.1,$1.45,40.09
2017-06-30,52.06,$0.94,55.55
2017-03-31,48.41,$0.67,71.93
