Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,134.82,,8.86
2024-06-30,113.25,$15.22,7.44
2024-03-31,115.38,$15.12,7.63
2023-12-31,106.45,$11.09,9.6
2023-09-30,95.83,$5.85,16.39
2023-06-30,102.37,$1.87,54.77
2023-03-31,97.64,$-5.60,0.0
2022-12-31,93.34,$-3.18,0.0
2022-09-30,75.54,$-2.14,0.0
2022-06-30,82.71,$-1.49,0.0
2021-12-31,89.33,$1.62,55.06
2021-09-30,81.15,$10.37,7.83
2021-06-30,82.5,$7.73,10.67
2021-03-31,81.4,$9.58,8.49
2020-12-31,70.71,$12.44,5.68
2022-03-31,81.16,$2.66,30.48
2020-09-30,67.48,$6.02,11.2
2020-06-30,73.38,$5.57,13.17
2020-03-31,66.25,$5.69,11.65
2019-12-31,80.88,$5.25,15.4
2019-09-30,70.65,$3.97,17.77
2019-06-30,70.75,$3.73,18.96
2019-03-31,80.61,$3.26,24.7
2018-12-31,77.3,$4.93,15.68
2018-09-30,88.76,$6.98,12.72
2018-06-30,93.06,$6.78,13.73
2018-03-31,107.8,$6.25,17.26
2017-12-31,116.35,$6.30,18.47
2017-09-30,99.98,$4.65,21.5
2017-06-30,98.3,$4.82,20.39
2017-03-31,98.89,$5.76,17.16
2016-12-31,102.18,$6.46,15.81
2015-12-31,77.16,$6.08,12.69
2015-09-30,69.97,$5.45,12.84
2015-06-30,63.62,$4.09,15.55
2015-03-31,61.72,$4.81,12.84
2014-12-31,66.92,$5.32,12.57
2016-09-30,108.37,$4.64,23.34
2014-09-30,59.5,$5.80,10.25
2014-06-30,58.58,$5.88,9.97
2014-03-31,52.86,$6.17,8.56
2013-12-31,52.82,$4.14,12.77
2013-09-30,50.74,$2.87,17.69
2013-06-30,50.03,$2.78,17.99
2013-03-31,54.83,$4.64,11.82
2012-12-31,48.59,$5.47,8.88
2012-09-30,41.24,$5.29,7.79
2012-06-30,37.02,$2.79,13.29
2012-03-31,42.92,$0.27,160.33
2011-12-31,39.02,$0.51,76.28
2011-09-30,29.0,$1.05,27.55
2011-06-30,40.69,$0.20,202.94
2011-03-31,38.03,$1.27,29.85
2010-12-31,33.67,$2.63,12.81
2016-06-30,105.0,$1.91,55.11
2010-09-30,27.36,$5.39,5.08
2010-06-30,22.03,$7.03,3.13
2010-03-31,25.09,$6.37,3.94
2009-12-31,21.08,$7.28,2.9
2009-09-30,20.47,$5.51,3.72
