Inari Medical Price to Free Cash Flow Ratio Historical Data,Inari Medical Price to Free Cash Flow Ratio Historical Data,Inari Medical Price to Free Cash Flow Ratio Historical Data,Inari Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.47,,143.13
2024-06-30,48.15,$0.30,158.54
2024-03-31,47.98,$0.33,144.13
2023-12-31,64.92,$0.52,123.99
2023-09-30,65.4,$0.51,127.98
2023-06-30,58.14,$-0.02,0.0
2023-03-31,61.74,$-0.27,0.0
2022-12-31,63.56,$-0.45,0.0
2022-09-30,72.64,$-0.40,0.0
2022-06-30,67.99,$-0.30,0.0
2022-03-31,90.64,$-0.15,0.0
2021-12-31,91.27,$0.21,428.5
2021-09-30,81.1,$-0.09,0.0
2021-06-30,93.28,$0.24,386.09
2021-03-31,107.0,$0.07,1626.14
