Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,131.2,,27.36
2024-05-31,119.22,$4.80,24.86
2024-02-29,120.69,$5.33,22.66
2023-11-30,119.18,$5.08,23.44
2023-08-31,118.51,$5.14,23.05
2023-05-31,101.01,$4.36,23.16
2023-02-28,105.41,$4.41,23.92
2022-11-30,117.62,$4.49,26.18
2022-08-31,116.18,$3.95,29.38
2022-05-31,115.95,$4.01,28.9
2022-02-28,110.75,$3.94,28.14
2021-11-30,110.25,$3.47,31.81
2021-08-31,105.31,$3.61,29.21
2021-05-31,92.51,$3.16,29.24
2021-02-28,82.75,$3.15,26.28
2020-11-30,84.04,$3.29,25.55
2020-08-31,68.47,$3.43,19.93
2020-05-31,64.17,$3.64,17.63
2020-02-29,68.12,$3.25,20.97
2019-11-30,75.17,$3.36,22.34
2019-08-31,70.79,$3.23,21.95
2019-05-31,73.78,$3.17,23.26
2019-02-28,65.75,$3.30,19.95
2018-11-30,59.94,$3.14,19.09
2018-08-31,61.52,$2.89,21.26
2018-05-31,54.63,$3.10,17.6
2018-02-28,53.77,$2.84,18.92
2017-11-30,55.17,$2.55,21.63
2017-08-31,46.38,$2.54,18.29
2017-05-31,47.75,$2.39,19.99
2017-02-28,49.13,$2.49,19.73
2016-11-30,46.8,$2.53,18.53
2016-08-31,47.77,$2.58,18.48
2016-05-31,42.36,$2.54,16.68
2016-02-29,39.82,$2.46,16.16
2015-11-30,41.66,$2.21,18.82
2015-08-31,34.02,$2.23,15.26
2015-05-31,37.3,$2.17,17.16
2015-02-28,37.33,$2.12,17.61
2014-11-30,35.22,$2.20,16.03
2014-08-31,30.69,$2.17,14.14
2014-05-31,30.02,$2.18,13.79
2014-02-28,30.23,$1.88,16.09
2013-11-30,31.4,$1.80,17.44
2013-08-31,27.55,$1.70,16.19
2013-05-31,26.28,$1.58,16.62
2013-02-28,23.37,$1.78,13.11
2012-11-30,22.52,$1.75,12.89
2012-08-31,22.78,$1.78,12.82
2012-05-31,20.33,$1.70,11.96
2012-02-29,21.01,$1.77,11.89
2011-11-30,19.34,$1.63,11.84
2011-08-31,17.74,$1.67,10.65
2011-05-31,21.0,$1.70,12.38
2011-02-28,21.66,$1.55,13.97
2010-11-30,18.21,$1.57,11.59
2010-08-31,15.7,$1.52,10.32
2010-05-31,17.79,$1.52,11.71
2010-02-28,18.48,$1.59,11.6
2009-11-30,19.15,$2.44,7.85
