Mattel Price to Free Cash Flow Ratio Historical Data,Mattel Price to Free Cash Flow Ratio Historical Data,Mattel Price to Free Cash Flow Ratio Historical Data,Mattel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.64,,8.1
2024-06-30,16.26,$2.30,7.06
2024-03-31,19.81,$2.72,7.28
2023-12-31,18.88,$2.01,9.41
2023-09-30,22.03,$1.33,16.57
2023-06-30,19.54,$1.03,18.92
2023-03-31,18.41,$0.62,29.88
2022-12-31,17.84,$0.82,21.79
2022-09-30,18.94,$0.94,20.19
2022-06-30,22.33,$0.51,43.96
2022-03-31,22.21,$0.65,34.26
2021-12-31,21.56,$1.06,20.39
2021-09-30,18.56,$1.07,17.36
2021-06-30,20.1,$1.22,16.49
2021-03-31,19.92,$1.01,19.79
2020-12-31,17.45,$0.49,35.27
2020-09-30,11.7,$0.39,30.16
2020-06-30,9.67,$-0.01,0.0
2020-03-31,8.81,$0.22,39.92
2019-12-31,13.55,$0.20,69.06
2019-09-30,11.39,$0.23,50.51
2019-06-30,11.21,$0.02,455.69
2019-03-31,13.0,$-0.22,0.0
2018-12-31,9.99,$-0.52,0.0
2018-09-30,15.7,$-0.55,0.0
2018-06-30,16.42,$-0.75,0.0
2018-03-31,13.15,$-0.77,0.0
2017-12-31,15.38,$-0.95,0.0
2017-09-30,15.48,$-0.39,0.0
2017-06-30,21.34,$-0.04,0.0
2017-03-31,24.95,$0.25,99.21
2016-12-31,26.45,$0.97,27.4
2016-09-30,28.71,$1.09,26.41
2016-06-30,29.33,$1.43,20.54
2016-03-31,31.13,$1.29,24.13
2015-12-31,24.85,$1.41,17.58
2015-09-30,18.96,$1.62,11.73
2015-06-30,22.72,$1.35,16.86
2015-03-31,19.91,$1.52,13.08
2014-12-31,26.6,$1.84,14.43
2014-09-30,26.03,$1.80,14.48
2014-06-30,32.73,$1.88,17.43
2014-03-31,33.36,$1.70,19.61
2013-12-31,39.15,$1.28,30.48
2013-09-30,34.19,$2.35,14.53
2013-06-30,36.67,$2.40,15.3
2013-03-31,35.16,$2.30,15.3
2012-12-31,29.16,$3.05,9.55
2012-09-30,28.0,$1.96,14.29
2012-06-30,25.39,$1.81,14.04
2012-03-31,26.08,$1.99,13.08
2011-12-31,21.31,$1.36,15.67
2011-09-30,19.71,$1.17,16.85
2011-06-30,20.75,$1.32,15.76
2011-03-31,18.65,$1.57,11.91
2010-12-31,18.85,$1.08,17.45
2010-09-30,16.85,$1.98,8.5
2010-06-30,15.19,$2.25,6.75
2010-03-31,16.33,$2.21,7.4
2009-12-31,14.35,$2.28,6.28
