Trimble Price to Free Cash Flow Ratio Historical Data,Trimble Price to Free Cash Flow Ratio Historical Data,Trimble Price to Free Cash Flow Ratio Historical Data,Trimble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,56.69,,25.44
2023-12-31,53.2,$2.23,23.87
2023-09-30,53.86,$2.26,23.85
2023-06-30,52.94,$2.03,26.04
2023-03-31,52.42,$1.66,31.65
2022-12-31,50.56,$1.39,36.35
2022-09-30,54.27,$1.47,36.88
2022-06-30,58.23,$1.78,32.77
2022-03-31,72.14,$2.46,29.3
2021-12-31,87.19,$2.77,31.48
2021-09-30,82.25,$3.00,27.43
2021-06-30,81.83,$3.03,26.99
2021-03-31,77.79,$2.74,28.37
2020-12-31,66.77,$2.44,27.38
2020-09-30,48.7,$2.16,22.55
2020-06-30,43.19,$2.00,21.57
2020-03-31,31.83,$2.07,15.38
2019-12-31,41.69,$2.04,20.42
2019-09-30,38.81,$3.02,12.86
2019-06-30,45.11,$2.78,16.2
2019-03-31,40.4,$2.53,15.95
2018-12-31,32.91,$2.23,14.74
2018-03-31,35.88,$1.38,26.09
2017-12-31,40.64,$1.50,27.03
2017-09-30,39.25,$1.69,23.25
2017-06-30,35.67,$1.80,19.84
2017-03-31,32.01,$1.55,20.67
2016-12-31,30.15,$1.60,18.9
2016-09-30,28.56,$1.33,21.46
2016-06-30,24.36,$1.26,19.41
2016-03-31,24.8,$0.28,87.94
2015-12-31,21.45,$0.17,126.77
2015-09-30,16.42,$0.24,69.64
2015-06-30,23.46,$0.42,56.48
2014-12-31,26.54,$1.36,19.51
2014-09-30,30.5,$1.99,15.33
2014-06-30,36.95,$2.02,18.33
2014-03-31,38.87,$1.92,20.29
2013-12-31,34.7,$2.08,16.72
2015-03-31,25.2,$1.21,20.77
2013-09-30,29.71,$1.14,25.95
2013-06-30,25.99,$1.10,23.54
2013-03-31,29.98,$0.97,30.98
2012-12-31,29.89,$1.12,26.78
2012-09-30,23.83,$1.10,21.59
2012-06-30,23.01,$0.99,23.35
2012-03-31,27.21,$1.01,27.06
2011-12-31,21.7,$0.87,25.07
2011-09-30,16.78,$0.70,23.89
2011-06-30,19.82,$0.47,42.21
2011-03-31,25.27,$0.30,84.32
2010-12-31,19.97,$0.41,48.99
2010-09-30,17.52,$-0.28,0.0
2010-06-30,14.0,$0.56,25.16
2010-03-31,14.36,$0.53,27.01
2009-12-31,12.6,$0.58,21.75
2018-09-30,43.46,$1.31,33.23
2009-09-30,11.96,$1.45,8.26
