PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,172.88,,33.05
2024-06-30,164.93,$5.23,31.53
2024-03-31,173.63,$5.37,32.35
2023-12-31,167.23,$5.87,28.48
2023-09-30,165.59,$5.13,32.28
2023-06-30,179.73,$4.24,42.39
2023-03-31,175.68,$4.03,43.59
2022-12-31,172.95,$4.22,40.97
2022-09-30,155.33,$4.85,32.0
2022-06-30,157.52,$4.83,32.64
2022-03-31,157.11,$5.51,28.52
2021-12-31,161.99,$5.15,31.44
2021-09-30,139.33,$4.85,28.71
2021-06-30,136.32,$5.17,26.37
2021-03-31,129.2,$4.64,27.83
2020-12-31,134.39,$4.62,29.1
2020-09-30,124.71,$4.65,26.83
2020-06-30,118.14,$3.99,29.58
2020-03-31,106.45,$3.65,29.19
2019-12-31,120.3,$3.97,30.3
2019-09-30,119.84,$4.35,27.53
2019-06-30,113.82,$4.45,25.55
2019-03-31,105.61,$5.00,21.13
2018-12-31,94.45,$4.40,21.48
2018-09-30,94.83,$4.07,23.3
2018-06-30,91.59,$4.19,21.85
2018-03-31,90.99,$4.23,21.53
2017-12-31,99.23,$5.04,19.71
2017-09-30,91.57,$4.92,18.61
2017-06-30,94.25,$4.76,19.81
2017-03-31,90.66,$5.01,18.09
2016-12-31,84.22,$5.32,15.84
2016-09-30,86.9,$5.55,15.65
2016-06-30,84.05,$5.74,14.64
2016-03-31,80.71,$5.47,14.76
2015-12-31,78.13,$5.52,14.16
2015-09-30,73.22,$5.29,13.84
2015-06-30,71.92,$5.22,13.77
2015-03-31,73.14,$5.20,14.07
2014-12-31,71.85,$5.08,14.13
2014-09-30,70.26,$4.57,15.39
2014-06-30,66.96,$4.30,15.58
2014-03-31,62.12,$4.12,15.08
2013-12-31,61.27,$4.49,13.65
2013-09-30,58.33,$4.67,12.49
2013-06-30,59.58,$4.84,12.32
2013-03-31,57.23,$4.61,12.43
2012-12-31,49.16,$3.72,13.21
2012-09-30,50.45,$3.50,14.4
2012-06-30,49.99,$3.09,16.19
2012-03-31,46.58,$2.96,15.72
2011-12-31,46.2,$3.56,12.97
2011-09-30,42.76,$3.13,13.66
2011-06-30,48.26,$3.06,15.75
2011-03-31,43.82,$3.25,13.47
2010-12-31,44.11,$3.27,13.49
2010-09-30,44.53,$3.49,12.74
2010-06-30,40.55,$3.42,11.84
2010-03-31,43.69,$3.34,13.08
2009-12-31,39.87,$3.00,13.3
