Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,30.49,,79.9
2024-06-30,28.21,$0.38,73.91
2023-12-31,34.2,$1.03,33.26
2023-09-30,29.98,$3.85,7.79
2023-06-30,32.57,$3.42,9.51
2023-03-31,29.09,$3.50,8.31
2022-12-31,28.96,$4.50,6.43
2024-03-31,35.68,$2.94,12.13
2022-09-30,26.53,$3.05,8.7
2022-06-30,30.61,$3.35,9.12
2022-03-31,34.86,$3.72,9.37
2021-12-31,36.36,$3.42,10.63
2021-09-30,30.84,$3.17,9.74
2021-06-30,29.7,$2.95,10.08
2021-03-31,30.58,$1.94,15.79
2020-12-31,28.65,$1.10,26.04
2020-09-30,24.23,$1.38,17.51
2020-06-30,19.08,$0.92,20.76
2020-03-31,14.4,$0.90,15.96
2019-12-31,25.34,$0.78,32.47
2019-09-30,22.97,$0.78,29.6
2019-06-30,21.57,$0.50,43.52
2019-03-31,21.26,$0.73,28.92
2018-12-31,17.4,$0.91,19.23
2018-09-30,25.69,$0.68,38.05
2018-06-30,28.74,$1.55,18.51
2018-03-31,27.36,$1.06,25.75
2017-12-31,27.31,$0.04,694.91
2017-09-30,26.12,$0.75,34.96
2017-06-30,25.48,$0.42,60.85
2016-12-31,22.47,$0.31,72.12
2016-09-30,23.6,$1.56,15.14
2016-06-30,21.79,$1.23,17.78
2016-03-31,22.45,$1.19,18.86
2015-12-31,21.48,$1.07,20.08
2015-09-30,19.38,$1.09,17.71
2015-06-30,22.08,$1.29,17.06
2015-03-31,23.03,$1.16,19.93
2014-12-31,24.72,$1.32,18.69
2014-09-30,21.76,$1.44,15.07
2014-06-30,22.41,$1.36,16.42
2014-03-31,19.73,$1.57,12.54
2013-12-31,21.07,$1.28,16.46
2013-09-30,18.97,$1.18,16.06
2013-06-30,18.73,$0.80,23.51
2013-03-31,20.5,$0.58,35.5
2012-12-31,18.07,$0.55,33.1
2012-09-30,16.87,$0.99,16.98
2012-06-30,14.34,$1.01,14.19
2012-03-31,13.96,$0.44,32.07
2011-12-31,11.8,$0.76,15.47
2011-09-30,9.75,$1.05,9.28
2011-06-30,13.59,$0.70,19.34
2011-03-31,15.19,$1.10,13.87
2010-12-31,11.62,$2.09,5.55
2010-09-30,9.64,$2.87,3.36
2010-06-30,8.09,$2.96,2.74
2010-03-31,10.4,$1.77,5.89
2009-12-31,9.9,$-0.34,0.0
2009-09-30,8.4,$-2.23,0.0
