Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.81,,25.37
2024-07-31,45.83,$1.96,23.34
2024-04-30,57.86,$3.57,16.21
2024-01-31,75.25,$3.72,20.22
2023-10-31,63.43,$4.77,13.29
2023-07-31,87.45,$5.59,15.63
2023-04-30,98.3,$5.47,17.97
2023-01-31,102.17,$3.65,27.99
2022-10-31,103.28,$3.23,31.99
2022-07-31,84.85,$4.60,18.43
2022-04-30,97.62,$4.68,20.85
2022-01-31,103.65,$9.14,11.34
2021-10-31,114.72,$8.17,14.05
2021-07-31,116.16,$16.01,7.26
2021-04-30,141.85,$16.07,8.83
2021-01-31,114.61,$7.84,14.63
2020-10-31,96.41,$10.43,9.25
2020-07-31,92.56,$2.97,31.14
2020-04-30,81.61,$3.38,24.18
2020-01-31,126.26,$9.61,13.13
2019-10-31,127.34,$9.15,13.92
2019-07-31,141.07,$9.32,15.13
2019-04-30,133.68,$8.64,15.47
2019-01-31,131.45,$8.90,14.78
2018-10-31,123.77,$8.04,15.39
2018-07-31,113.36,$7.43,15.27
2018-04-30,123.28,$8.63,14.29
2018-01-31,131.21,$8.26,15.88
2017-10-31,115.29,$8.69,13.26
2017-07-31,113.88,$8.74,13.04
2017-04-30,114.0,$8.32,13.71
2017-01-31,111.67,$8.54,13.07
2016-10-31,96.79,$7.82,12.37
2016-07-31,109.45,$6.57,16.66
2016-04-30,99.01,$6.95,14.25
2016-01-31,88.11,$7.38,11.94
2015-10-31,91.46,$5.64,16.21
2015-07-31,100.27,$8.54,11.74
2015-04-30,85.18,$5.53,15.41
2015-01-31,85.88,$5.97,14.38
2014-07-31,60.87,$3.66,16.63
2014-04-30,58.88,$6.47,9.1
2014-01-31,61.05,$6.66,9.17
2013-10-31,67.26,$4.89,13.75
2013-07-31,59.51,$9.30,6.4
2014-10-31,73.1,$3.35,21.83
2013-04-30,49.92,$4.90,10.2
2013-01-31,38.87,$4.87,7.98
2012-10-31,37.87,$4.76,7.96
2012-07-31,37.0,$5.96,6.21
2012-04-30,33.76,$4.90,6.89
2012-01-31,30.64,$5.43,5.64
2011-10-31,24.64,$-3.07,0.0
2011-07-31,26.07,$-1.17,0.0
2011-04-30,29.47,$-0.91,0.0
2011-01-31,29.48,$0.34,86.41
2010-07-31,27.82,$6.03,4.61
2010-04-30,27.93,$12.04,2.32
2010-01-31,20.83,$9.31,2.24
2009-10-31,18.58,$8.38,2.22
2009-07-31,16.09,$8.63,1.87
