Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.37,,13.34
2024-06-30,22.65,$2.05,11.04
2024-03-31,23.34,$2.41,9.68
2023-12-31,27.92,$2.59,10.77
2023-09-30,20.54,$3.59,5.72
2023-06-30,19.27,$3.92,4.91
2023-03-31,22.0,$3.68,5.98
2022-12-31,28.64,$4.29,6.68
2022-09-30,27.84,$4.14,6.73
2022-06-30,26.04,$3.73,6.98
2022-03-31,31.16,$3.59,8.67
2021-12-31,34.97,$3.31,10.56
2021-09-30,35.92,$3.46,10.4
2021-06-30,36.35,$2.93,12.4
2021-03-31,37.08,$2.94,12.6
2020-12-31,26.52,$2.53,10.49
2020-09-30,16.87,$2.56,6.58
2020-06-30,17.95,$3.00,5.98
2020-03-31,15.4,$2.95,5.21
2019-12-31,26.43,$2.94,8.98
2019-09-30,25.12,$3.44,7.31
2019-06-30,24.68,$2.37,10.42
2019-03-31,21.05,$3.37,6.24
2018-12-31,20.1,$3.41,5.89
2018-09-30,29.3,$2.85,10.28
2018-06-30,30.04,$2.98,10.09
2018-03-31,31.66,$2.14,14.77
2017-12-31,31.5,$1.69,18.6
2017-09-30,29.73,$1.75,16.97
2017-06-30,29.06,$2.34,12.41
2017-03-31,30.36,$2.09,14.49
2016-12-31,27.84,$2.24,12.42
2016-09-30,20.84,$1.82,11.46
2016-06-30,18.9,$1.77,10.66
2016-03-31,16.83,$1.50,11.21
2015-12-31,16.73,$1.08,15.44
2015-09-30,16.0,$0.80,20.13
2015-06-30,13.36,$0.82,16.26
2015-03-31,12.75,$0.75,16.98
2014-12-31,13.65,$0.68,20.16
2014-09-30,11.06,$0.84,13.18
2014-06-30,11.1,$0.48,23.04
2014-03-31,12.71,$0.68,18.79
2013-12-31,12.4,$0.72,17.27
2013-09-30,10.57,$1.25,8.49
2013-06-30,9.62,$0.81,11.88
2013-03-31,10.36,$0.51,20.43
2012-12-31,8.06,$0.70,11.59
2012-09-30,7.51,$-0.06,0.0
2012-06-30,6.62,$0.79,8.42
2012-03-31,6.3,$1.14,5.53
2011-12-31,4.99,$0.86,5.79
2011-09-30,4.65,$1.22,3.82
2011-06-30,5.04,$0.66,7.6
2011-03-31,5.37,$0.48,11.16
2010-12-31,5.1,$0.81,6.34
2010-09-30,3.5,$0.04,79.83
2010-06-30,3.3,$0.58,5.71
2010-03-31,3.86,$0.96,4.01
2009-12-31,2.66,$0.99,2.7
