CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.33,,10.32
2024-06-30,18.71,$3.62,5.17
2024-03-31,21.27,$3.01,7.07
2023-12-31,20.65,$3.05,6.76
2023-09-30,19.04,$2.11,9.01
2023-03-31,26.17,$1.99,13.18
2022-12-31,27.43,$1.67,16.45
2022-09-30,22.86,$0.04,560.29
2022-06-30,20.0,$1.08,18.53
2022-03-31,26.88,$1.00,26.88
2021-12-31,31.37,$0.54,57.78
