First Financial Bancorp Price to Free Cash Flow Ratio Historical Data,First Financial Bancorp Price to Free Cash Flow Ratio Historical Data,First Financial Bancorp Price to Free Cash Flow Ratio Historical Data,First Financial Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.43,,8.81
2024-06-30,22.02,$3.00,7.34
2024-03-31,21.99,$3.36,6.54
2023-12-31,23.05,$4.87,4.74
2023-09-30,18.8,$3.95,4.76
2023-06-30,19.4,$2.05,9.48
2023-03-31,20.41,$2.25,9.06
2022-12-31,22.51,$1.98,11.38
2022-09-30,19.41,$2.76,7.03
2022-06-30,17.68,$4.56,3.88
2022-03-31,20.77,$3.90,5.32
2021-12-31,21.77,$3.89,5.6
2021-09-30,20.7,$4.38,4.72
2021-06-30,20.69,$3.78,5.47
2021-03-31,20.82,$3.76,5.54
2020-12-31,15.06,$0.94,16.07
2020-09-30,10.16,$0.15,67.14
2020-06-30,11.57,$0.37,31.15
2020-03-31,12.21,$-0.04,0.0
2019-12-31,20.6,$1.67,12.31
2019-09-30,19.63,$2.02,9.7
2019-06-30,19.23,$2.20,8.73
2019-03-31,18.92,$2.31,8.18
2018-12-31,18.51,$2.70,6.85
2018-09-30,23.01,$2.08,11.07
2018-06-30,23.59,$2.30,10.25
2018-03-31,22.45,$2.18,10.3
2017-12-31,20.02,$1.88,10.64
2017-09-30,19.75,$2.41,8.18
2017-06-30,20.77,$2.66,7.81
2017-03-31,20.45,$2.61,7.85
2016-12-31,21.06,$2.62,8.05
2016-09-30,16.07,$1.67,9.62
2016-03-31,13.17,$1.24,10.6
2015-12-31,12.97,$1.36,9.54
2015-09-30,13.58,$1.06,12.83
2015-06-30,12.66,$1.33,9.48
2015-03-31,12.46,$0.78,15.9
2014-12-31,12.88,$0.78,16.62
2014-09-30,10.88,$1.25,8.68
2014-06-30,11.72,$1.70,6.88
2014-03-31,12.13,$2.24,5.43
2013-12-31,11.65,$-0.46,0.0
2013-09-30,10.05,$-0.12,0.0
2013-06-30,9.7,$-0.45,0.0
2016-06-30,14.21,$-0.35,0.0
2012-12-31,9.2,$3.17,2.91
2012-09-30,10.44,$4.93,2.12
2012-06-30,9.69,$4.78,2.03
2012-03-31,10.3,$4.48,2.3
2011-12-31,9.72,$4.24,2.29
2013-03-31,10.29,$2.80,3.68
2011-09-30,7.93,$3.06,2.59
2011-06-30,9.43,$2.81,3.35
2011-03-31,9.36,$3.15,2.97
2010-12-31,10.29,$2.80,3.68
2010-09-30,9.23,$3.02,3.06
2010-06-30,8.22,$3.07,2.68
2010-03-31,9.72,$1.41,6.87
2009-12-31,7.91,$0.58,13.72
