ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,92.36,,20.65
2024-06-30,80.58,$4.47,18.01
2024-03-31,78.24,$3.89,20.11
2023-12-31,67.57,$5.82,11.61
2023-09-30,60.15,$5.81,10.36
2023-06-30,57.71,$5.37,10.74
2023-03-31,58.55,$5.42,10.81
2022-12-31,59.71,$3.80,15.71
2022-09-30,45.84,$4.08,11.23
2022-06-30,48.89,$3.99,12.26
2022-03-31,61.31,$3.79,16.16
2021-12-31,50.22,$4.13,12.15
2021-09-30,48.84,$3.39,14.4
2021-06-30,46.03,$2.92,15.75
2021-03-31,41.15,$1.38,29.74
2020-12-31,30.46,$-0.69,0.0
2020-09-30,19.98,$-3.02,0.0
2020-06-30,24.72,$-4.69,0.0
2020-03-31,15.7,$-5.96,0.0
2019-12-31,53.79,$-5.08,0.0
2019-09-30,51.71,$-4.34,0.0
2019-06-30,47.65,$-2.37,0.0
2018-12-31,36.4,$0.11,333.31
2018-09-30,45.12,$1.08,41.69
2018-06-30,45.91,$2.88,15.93
2018-03-31,36.94,$3.24,11.4
2017-12-31,34.25,$4.12,8.32
2017-06-30,32.5,$4.63,7.02
2017-03-31,34.15,$4.05,8.43
2016-12-31,34.97,$3.55,9.85
2016-09-30,30.91,$2.45,12.64
2016-06-30,28.16,$1.65,17.05
2016-03-31,17.42,$0.91,19.11
2015-12-31,14.02,$-0.77,0.0
2015-09-30,17.98,$-1.84,0.0
2015-06-30,21.7,$-2.35,0.0
2015-03-31,26.19,$-4.04,0.0
2014-12-31,26.64,$-2.31,0.0
2014-09-30,34.73,$-3.36,0.0
2014-06-30,35.75,$-4.59,0.0
2014-03-31,30.84,$-4.10,0.0
2013-12-31,28.27,$-4.52,0.0
2013-09-30,24.08,$-4.61,0.0
2013-06-30,18.52,$-4.82,0.0
2013-03-31,21.22,$-4.63,0.0
2012-12-31,18.89,$-4.13,0.0
2012-09-30,21.2,$-2.95,0.0
2012-06-30,18.43,$-2.13,0.0
2012-03-31,17.65,$-2.69,0.0
2011-12-31,18.61,$-3.75,0.0
2011-09-30,14.07,$-1.12,0.0
2011-06-30,15.65,$-0.65,0.0
2010-12-31,11.54,$3.16,3.66
2010-09-30,9.28,$4.93,1.88
2010-06-30,8.83,$5.07,1.74
2010-03-31,9.23,$5.38,1.72
2009-12-31,8.93,$3.70,2.41
2011-03-31,14.04,$5.21,2.7
2009-09-30,7.25,$6.01,1.21
2009-06-30,5.76,$4.79,1.2
