AtriCure Price to Free Cash Flow Ratio Historical Data,AtriCure Price to Free Cash Flow Ratio Historical Data,AtriCure Price to Free Cash Flow Ratio Historical Data,AtriCure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.57,,0.0
2024-06-30,22.77,$-0.42,0.0
2024-03-31,30.42,$-0.53,0.0
2023-12-31,35.69,$-0.16,0.0
2023-09-30,43.8,$-0.28,0.0
2023-06-30,49.36,$-0.38,0.0
2023-03-31,41.45,$-0.38,0.0
2022-12-31,44.38,$-0.85,0.0
2022-09-30,39.1,$-0.81,0.0
2022-06-30,40.86,$-0.69,0.0
2022-03-31,65.67,$-0.89,0.0
2021-12-31,69.53,$-0.51,0.0
2021-09-30,69.55,$-0.42,0.0
2021-06-30,79.33,$-0.29,0.0
2021-03-31,65.52,$-0.37,0.0
2020-12-31,55.67,$-0.60,0.0
2020-09-30,39.9,$-0.85,0.0
2020-06-30,44.95,$-1.10,0.0
2020-03-31,33.59,$-0.80,0.0
2019-12-31,32.51,$-0.74,0.0
2019-09-30,24.94,$-0.53,0.0
2019-06-30,29.84,$-0.27,0.0
2019-03-31,26.79,$-0.36,0.0
2018-12-31,30.6,$-0.30,0.0
2018-09-30,35.03,$-0.30,0.0
2018-06-30,27.05,$-0.45,0.0
2018-03-31,20.52,$-0.47,0.0
2017-12-31,18.24,$-0.47,0.0
2017-09-30,22.37,$-0.51,0.0
2017-06-30,24.25,$-0.48,0.0
2017-03-31,19.15,$-0.64,0.0
2016-12-31,19.57,$-0.72,0.0
2016-09-30,15.82,$-1.06,0.0
2016-06-30,14.13,$-1.25,0.0
2016-03-31,16.83,$-1.12,0.0
2015-12-31,22.44,$-1.13,0.0
2015-09-30,21.91,$-1.05,0.0
2015-06-30,24.64,$-0.95,0.0
2015-03-31,20.49,$-0.99,0.0
2014-12-31,19.96,$-1.17,0.0
2014-09-30,14.72,$-1.09,0.0
2014-06-30,18.38,$-0.98,0.0
2014-03-31,18.81,$-0.86,0.0
2013-12-31,18.68,$-0.39,0.0
2013-09-30,10.98,$-0.25,0.0
2013-06-30,9.5,$-0.33,0.0
2013-03-31,7.92,$-0.35,0.0
2012-12-31,6.9,$-0.30,0.0
2012-09-30,7.44,$-0.36,0.0
2012-06-30,9.61,$-0.31,0.0
2012-03-31,9.95,$-0.25,0.0
2011-12-31,11.1,$-0.22,0.0
2011-09-30,9.74,$-0.03,0.0
2011-06-30,12.9,$-0.00,0.0
2011-03-31,11.38,$0.02,539.34
2010-12-31,10.27,$-0.12,0.0
2010-09-30,7.87,$-0.22,0.0
2010-06-30,6.65,$-0.12,0.0
2010-03-31,5.89,$-0.09,0.0
2009-12-31,6.04,$-0.06,0.0
