Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,181.32,,55.83
2024-06-30,160.86,$3.25,49.53
2024-03-31,181.59,$2.91,62.5
2023-12-31,157.53,$3.29,47.82
2023-06-30,140.47,$5.69,24.71
2023-03-31,121.32,$6.43,18.87
2022-12-31,101.23,$5.93,17.06
2022-09-30,80.49,$4.64,17.36
2022-06-30,83.34,$6.83,12.2
2023-09-30,144.91,$3.90,37.18
2022-03-31,97.95,$5.02,19.5
2021-12-31,108.21,$5.32,20.34
2021-09-30,96.51,$5.18,18.64
2021-06-30,92.37,$5.05,18.28
2021-03-31,92.78,$4.21,22.05
2020-12-31,75.06,$3.11,24.14
2020-09-30,57.14,$2.49,22.95
2020-06-30,55.33,$2.09,26.46
2020-03-31,46.92,$3.61,12.99
2019-12-31,75.71,$4.15,18.25
2019-09-30,69.4,$4.13,16.81
2019-06-30,69.37,$3.48,19.92
2019-03-31,69.42,$3.33,20.86
2018-12-31,63.37,$2.84,22.31
2018-09-30,98.09,$4.03,24.32
2018-06-30,96.0,$3.46,27.77
2018-03-31,89.4,$2.83,31.54
2017-12-31,95.32,$3.33,28.67
2017-09-30,99.21,$2.43,40.85
2017-06-30,84.59,$3.06,27.63
2017-03-31,93.23,$3.35,27.8
2016-12-31,81.65,$3.81,21.41
2016-09-30,86.13,$4.31,19.98
2016-06-30,76.51,$4.92,15.56
2016-03-31,71.92,$5.66,12.7
2015-12-31,76.7,$5.15,14.88
2015-09-30,69.4,$4.81,14.44
2015-06-30,73.49,$3.24,22.65
2015-03-31,75.4,$2.80,26.93
2014-12-31,70.81,$3.31,21.36
2014-09-30,67.85,$2.85,23.81
2014-06-30,68.07,$4.04,16.86
2014-03-31,48.9,$4.72,10.37
2013-12-31,57.28,$3.06,18.71
2013-09-30,54.02,$3.13,17.28
2013-06-30,47.91,$3.61,13.28
2013-03-31,50.08,$2.40,20.83
2012-12-31,46.45,$4.00,11.61
2012-09-30,40.19,$3.93,10.24
2012-06-30,38.42,$3.06,12.56
2012-03-31,37.12,$3.43,10.83
2011-12-31,30.74,$2.63,11.71
2011-09-30,27.96,$2.82,9.91
2011-06-30,27.49,$3.95,6.95
2011-03-31,33.9,$0.81,41.97
2010-12-31,26.71,$0.99,27.04
2010-09-30,21.56,$1.37,15.69
2010-06-30,22.55,$1.38,16.38
2010-03-31,22.88,$3.15,7.26
2009-12-31,17.8,$4.61,3.86
