Sirius XM Holdings Price to Free Cash Flow Ratio Historical Data,Sirius XM Holdings Price to Free Cash Flow Ratio Historical Data,Sirius XM Holdings Price to Free Cash Flow Ratio Historical Data,Sirius XM Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.1,,8.71
2024-06-30,2.81,$3.11,0.9
2024-03-31,3.81,$3.07,1.24
2023-12-31,5.35,$3.09,1.73
2023-09-30,4.4,$3.31,1.33
2023-06-30,4.38,$3.40,1.29
2023-03-31,3.82,$3.65,1.05
2022-12-31,5.59,$3.92,1.42
2022-09-30,5.44,$3.72,1.46
2022-06-30,5.82,$3.78,1.54
2022-03-31,6.26,$4.02,1.56
2021-12-31,5.76,$3.89,1.48
2021-09-30,5.52,$3.74,1.48
2021-06-30,5.9,$3.68,1.6
2021-03-31,5.48,$3.49,1.57
2020-12-31,5.72,$3.77,1.52
2020-09-30,4.8,$3.62,1.33
2020-06-30,5.25,$3.84,1.37
2020-03-31,4.4,$3.71,1.19
2019-12-31,6.36,$3.58,1.78
2019-09-30,5.55,$3.65,1.52
2019-06-30,4.95,$3.23,1.53
2019-03-31,5.01,$3.27,1.53
2018-12-31,5.04,$3.34,1.51
2018-09-30,5.57,$3.39,1.64
2018-06-30,5.95,$3.68,1.62
2018-03-31,5.48,$3.51,1.56
2017-12-31,4.7,$3.32,1.42
2017-09-30,4.83,$3.20,1.51
2017-06-30,4.78,$3.01,1.59
2017-03-31,4.49,$2.93,1.53
2016-12-31,3.87,$3.05,1.27
2016-09-30,3.62,$2.73,1.33
2016-06-30,3.43,$2.32,1.48
2016-03-31,3.43,$2.19,1.56
2015-12-31,3.53,$2.04,1.73
2015-09-30,3.24,$2.10,1.54
2015-06-30,3.24,$2.25,1.44
2015-03-31,3.31,$2.07,1.6
2014-12-31,3.04,$1.93,1.57
2014-09-30,3.03,$1.80,1.68
2014-06-30,3.0,$1.73,1.74
2014-03-31,2.78,$1.60,1.73
2013-12-31,3.03,$1.46,2.08
2013-09-30,3.36,$1.36,2.47
2013-06-30,2.91,$1.24,2.34
2013-03-31,2.67,$1.23,2.18
2012-12-31,2.51,$1.03,2.43
2012-09-30,2.21,$0.97,2.29
2012-06-30,1.58,$0.80,1.98
2012-03-31,1.97,$0.67,2.93
2011-12-31,1.55,$0.62,2.48
2011-09-30,1.29,$0.59,2.18
2011-06-30,1.87,$0.56,3.32
2011-03-31,1.41,$0.50,2.79
2010-12-31,1.39,$0.31,4.42
2010-09-30,1.02,$0.47,2.17
2010-06-30,0.81,$0.45,1.81
2010-03-31,0.74,$0.31,2.37
2009-12-31,0.51,$0.52,0.99
