YETI Holdings Price to Free Cash Flow Ratio Historical Data,YETI Holdings Price to Free Cash Flow Ratio Historical Data,YETI Holdings Price to Free Cash Flow Ratio Historical Data,YETI Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.53,,21.51
2024-06-30,38.15,$1.84,20.76
2024-03-31,38.55,$2.03,18.97
2023-12-31,51.78,$2.69,19.24
2023-09-30,48.22,$2.70,17.85
2023-06-30,38.84,$1.83,21.21
2023-03-31,40.0,$1.13,35.53
2022-12-31,41.31,$0.63,65.53
2022-09-30,28.52,$-0.55,0.0
2022-06-30,43.27,$-0.10,0.0
2022-03-31,59.98,$0.48,125.53
2021-12-31,82.83,$1.02,81.25
2021-09-30,85.69,$1.76,48.56
2021-06-30,91.82,$3.21,28.63
2021-03-31,72.21,$3.37,21.46
2020-12-31,68.47,$3.99,17.14
2020-09-30,45.32,$3.20,14.17
2020-06-30,42.73,$1.46,29.24
2020-03-31,19.52,$1.11,17.66
2019-12-31,34.78,$0.63,54.79
2019-09-30,28.0,$1.89,14.84
