Ericsson Price to Free Cash Flow Ratio Historical Data,Ericsson Price to Free Cash Flow Ratio Historical Data,Ericsson Price to Free Cash Flow Ratio Historical Data,Ericsson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.28,,7.38
2024-09-30,7.45,$1.12,6.64
2024-06-30,6.06,$0.73,8.26
2024-03-31,5.28,$0.39,13.66
2023-12-31,6.04,$0.05,113.99
2023-09-30,4.66,$0.22,21.06
2023-06-30,5.1,$0.29,17.47
2023-03-31,5.47,$0.56,9.69
2022-12-31,5.34,$0.74,7.2
2022-09-30,5.25,$0.71,7.41
2022-06-30,6.64,$1.09,6.1
2022-03-31,8.2,$1.10,7.44
2021-12-31,9.61,$1.21,7.94
2021-09-30,9.9,$1.11,8.91
2021-06-30,11.01,$0.81,13.6
2021-03-31,11.55,$0.77,15.06
2020-12-31,10.37,$0.78,13.24
2020-09-30,9.38,$0.35,26.79
2020-06-30,8.01,$0.36,22.27
2020-03-31,6.9,$0.30,22.76
2019-12-31,7.49,$0.35,21.35
2019-09-30,6.8,$0.49,13.96
2019-06-30,8.1,$0.35,23.43
2019-03-31,7.83,$0.28,27.49
2018-12-31,7.48,$0.17,44.76
2018-09-30,7.42,$0.45,16.31
2018-06-30,6.46,$0.38,17.05
2018-03-31,5.29,$0.33,16.28
2017-12-31,5.52,$0.19,29.13
2017-09-30,4.75,$0.40,11.95
2017-06-30,5.93,$0.29,20.73
2017-03-31,5.49,$0.21,26.43
2016-12-31,4.74,$0.14,34.1
2016-09-30,5.86,$0.23,25.79
2016-06-30,6.24,$0.38,16.63
2016-03-31,7.79,$0.19,40.42
2015-12-31,7.46,$0.63,11.88
2015-09-30,7.59,$-0.21,0.0
2015-03-31,9.46,$-0.17,0.0
2014-12-31,9.12,$0.55,16.48
2014-09-30,9.49,$0.89,10.6
2014-06-30,9.1,$1.07,8.48
2014-03-31,9.69,$1.19,8.14
2013-12-31,8.9,$0.58,15.3
2013-09-30,9.71,$0.58,16.8
2013-06-30,8.2,$0.79,10.4
2013-03-31,8.86,$0.54,16.46
2012-12-31,7.1,$0.71,10.06
2012-09-30,6.41,$0.25,25.39
2012-06-30,6.42,$0.02,273.09
2012-03-31,7.06,$0.35,20.16
2011-12-31,6.94,$0.20,35.04
2011-09-30,6.54,$0.66,9.84
2011-06-30,9.85,$1.10,8.92
2011-03-31,8.55,$0.73,11.77
2010-12-31,7.67,$0.98,7.82
2010-09-30,7.3,$0.37,19.54
2010-06-30,7.33,$0.14,52.17
2010-03-31,6.82,$0.61,11.12
2009-12-31,6.01,$0.40,15.16
