Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data,Oaktree Specialty Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.58,,6.82
2024-06-30,18.19,$2.43,7.48
2024-03-31,18.47,$3.84,4.82
2023-12-31,18.65,$4.98,3.74
2023-09-30,17.83,$3.17,5.62
2023-06-30,16.75,$0.89,18.8
2023-03-31,15.74,$0.61,25.62
2022-12-31,16.77,$-1.81,0.0
2022-09-30,13.99,$0.37,37.93
2022-06-30,14.89,$-4.39,0.0
2022-03-31,16.33,$-3.07,0.0
2021-12-31,16.17,$-4.22,0.0
2021-09-30,14.98,$-4.27,0.0
2021-06-30,13.91,$0.57,24.37
2021-03-31,12.65,$-2.98,0.0
2020-12-31,11.15,$-1.99,0.0
2020-09-30,9.5,$-3.25,0.0
2020-06-30,8.59,$-2.72,0.0
2020-03-31,6.1,$0.42,14.68
2019-12-31,10.03,$1.82,5.51
2019-09-30,9.35,$4.59,2.03
2019-06-30,9.61,$1.62,5.95
2019-03-31,9.02,$1.05,8.56
2018-12-31,7.24,$1.70,4.26
2018-09-30,8.3,$1.14,7.29
2018-06-30,7.85,$5.78,1.36
2018-03-31,6.78,$5.88,1.15
2017-12-31,7.72,$7.86,0.98
2017-09-30,8.42,$10.33,0.82
2017-06-30,7.31,$8.54,0.86
2017-03-31,6.91,$7.76,0.89
2016-12-31,7.81,$6.73,1.16
2016-09-30,8.19,$3.27,2.51
2016-06-30,6.62,$-0.27,0.0
2016-03-31,6.62,$5.19,1.27
2015-12-31,8.11,$7.09,1.14
2015-09-30,7.62,$2.73,2.8
2015-06-30,7.87,$6.99,1.13
2015-03-31,8.55,$3.66,2.34
2014-12-31,9.19,$-5.49,0.0
2014-09-30,10.21,$-10.94,0.0
2014-06-30,10.65,$-14.72,0.0
2014-03-31,9.98,$-16.45,0.0
2013-12-31,9.5,$-13.06,0.0
2013-09-30,10.31,$-11.73,0.0
2013-06-30,10.2,$-12.65,0.0
2013-03-31,10.47,$-17.09,0.0
2012-12-31,9.64,$-11.47,0.0
2012-09-30,9.88,$-3.13,0.0
2012-06-30,8.74,$-6.33,0.0
2012-03-31,8.29,$-2.83,0.0
2011-12-31,7.91,$-13.71,0.0
2011-09-30,7.46,$-22.61,0.0
2011-06-30,9.09,$-21.30,0.0
2011-03-31,10.19,$-22.27,0.0
2010-12-31,9.05,$-14.29,0.0
2010-09-30,8.01,$-15.79,0.0
2010-06-30,7.85,$-11.37,0.0
2010-03-31,8.05,$-9.12,0.0
2009-12-31,7.25,$-12.64,0.0
