Bank OZK Price to Free Cash Flow Ratio Historical Data,Bank OZK Price to Free Cash Flow Ratio Historical Data,Bank OZK Price to Free Cash Flow Ratio Historical Data,Bank OZK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.76,,6.6
2024-06-30,40.24,$7.09,5.68
2024-03-31,44.22,$7.29,6.07
2023-12-31,48.08,$7.42,6.48
2023-09-30,35.41,$7.17,4.94
2023-06-30,38.04,$6.79,5.6
2023-03-31,32.06,$6.75,4.75
2022-12-31,37.25,$6.09,6.12
2022-09-30,36.5,$5.88,6.21
2022-06-30,34.32,$4.74,7.24
2022-03-31,38.75,$4.09,9.47
2021-12-31,41.97,$3.81,11.01
2021-09-30,38.52,$3.86,9.97
2021-06-30,37.53,$4.02,9.33
2021-03-31,36.11,$4.39,8.23
2020-12-31,27.43,$3.88,7.07
2020-09-30,18.48,$3.29,5.61
2020-06-30,20.1,$3.04,6.62
2020-03-31,14.11,$2.32,6.08
2019-12-31,25.56,$2.53,10.11
2019-09-30,22.63,$4.18,5.41
2019-06-30,24.77,$4.43,5.59
2019-03-31,23.68,$4.80,4.93
2018-12-31,18.5,$4.80,3.85
2018-09-30,30.58,$3.33,9.18
2018-06-30,36.12,$2.90,12.44
2018-03-31,38.55,$2.52,15.32
2017-12-31,38.55,$2.75,14.03
2017-09-30,38.08,$2.79,13.65
2017-06-30,37.0,$2.73,13.56
2017-03-31,41.06,$2.56,16.05
2016-12-31,41.51,$1.88,22.09
2016-09-30,30.31,$1.23,24.58
2016-06-30,29.62,$1.38,21.44
2016-03-31,33.13,$1.60,20.67
2015-12-31,39.04,$2.11,18.5
2015-09-30,34.54,$1.83,18.84
2015-06-30,36.11,$1.73,20.9
2015-03-31,29.15,$1.59,18.33
2014-12-31,29.93,$1.01,29.69
2014-09-30,24.88,$0.69,35.88
2014-06-30,26.4,$0.50,52.59
2014-03-31,26.86,$0.46,58.26
2013-12-31,22.34,$0.68,32.86
2013-09-30,18.83,$0.33,56.24
2013-06-30,16.95,$0.14,122.23
2013-03-31,17.28,$-0.36,0.0
2012-12-31,12.99,$-0.89,0.0
2012-09-30,13.32,$0.17,78.67
2012-06-30,11.57,$0.18,66.13
2012-03-31,11.98,$0.45,26.86
2011-12-31,11.31,$0.60,18.9
2011-09-30,7.96,$0.59,13.6
2011-06-30,9.86,$0.39,25.62
2011-03-31,8.25,$0.60,13.81
2010-12-31,8.15,$0.70,11.69
2010-09-30,6.94,$0.30,22.9
2010-06-30,6.61,$0.68,9.7
2010-03-31,6.53,$0.62,10.51
2009-12-31,5.41,$0.57,9.43
