CommScope Holding Price to Free Cash Flow Ratio Historical Data,CommScope Holding Price to Free Cash Flow Ratio Historical Data,CommScope Holding Price to Free Cash Flow Ratio Historical Data,CommScope Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.65,,15.79
2024-06-30,1.23,$0.36,3.44
2024-03-31,1.31,$0.69,1.91
2023-12-31,2.82,$1.46,1.93
2023-09-30,3.36,$2.80,1.2
2023-06-30,5.63,$1.09,5.15
2023-03-31,6.37,$0.34,18.94
2022-12-31,7.35,$0.25,29.82
2022-09-30,9.21,$-1.33,0.0
2022-03-31,7.88,$0.56,14.18
2021-12-31,11.04,$0.02,563.27
2021-09-30,13.59,$0.48,28.29
2021-06-30,21.31,$1.06,20.05
2021-03-31,15.36,$1.23,12.52
2020-12-31,13.4,$1.63,8.24
2020-09-30,9.0,$2.92,3.08
2020-06-30,8.33,$4.75,1.75
2020-03-31,9.11,$2.37,3.85
2019-12-31,14.19,$2.55,5.57
2019-09-30,11.76,$1.52,7.76
2019-06-30,15.73,$0.01,1165.19
2019-03-31,21.73,$1.89,11.5
2018-12-31,16.39,$2.17,7.54
2018-09-30,30.76,$2.81,10.93
2018-06-30,29.21,$2.39,12.22
2018-03-31,39.97,$2.33,17.15
2017-12-31,37.83,$2.66,14.24
2017-09-30,33.21,$1.84,18.06
2017-06-30,38.03,$2.46,15.49
2017-03-31,41.71,$2.83,14.74
2016-12-31,37.2,$2.93,12.69
2016-09-30,30.11,$4.80,6.27
2016-06-30,31.03,$1.98,15.65
2016-03-31,27.92,$1.74,16.0
2015-12-31,25.89,$1.48,17.51
2022-06-30,6.12,$-0.79,0.0
2015-09-30,30.03,$1.39,21.59
2015-06-30,30.51,$1.93,15.81
2015-03-31,28.54,$1.52,18.75
2014-12-31,22.83,$1.34,17.0
2014-09-30,23.91,$1.97,12.16
