Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data,Suncor Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.98,,7.91
2024-06-30,37.57,$4.93,7.62
2024-03-31,36.4,$5.18,7.03
2023-12-31,31.24,$4.69,6.66
2023-09-30,33.12,$4.53,7.31
2023-06-30,27.92,$4.89,5.71
2023-03-31,29.18,$5.24,5.57
2022-12-31,29.5,$6.02,4.9
2022-09-30,25.86,$5.58,4.64
2022-06-30,31.85,$5.56,5.73
2022-03-31,29.33,$4.37,6.71
2021-12-31,22.29,$4.04,5.51
2021-09-30,18.22,$3.08,5.92
2021-06-30,20.87,$1.32,15.76
2021-03-31,18.07,$0.20,92.07
2020-12-31,14.4,$-0.58,0.0
2020-09-30,10.39,$-0.30,0.0
2020-06-30,14.18,$0.45,31.49
2020-03-31,13.18,$2.20,5.99
2019-12-31,27.0,$2.48,10.89
2019-09-30,25.73,$3.16,8.13
2019-06-30,25.11,$3.80,6.6
2019-03-31,25.87,$3.07,8.42
2018-12-31,22.11,$2.49,8.88
2018-09-30,30.33,$2.08,14.56
2018-06-30,31.68,$1.24,25.61
2018-03-31,26.71,$1.22,21.88
2017-12-31,28.15,$1.87,15.09
2017-09-30,26.66,$1.92,13.88
2017-06-30,22.05,$1.45,15.21
2017-03-31,23.04,$0.70,32.72
2016-12-31,24.31,$-0.32,0.0
2016-09-30,20.52,$-1.19,0.0
2016-06-30,20.31,$-0.83,0.0
2016-03-31,20.21,$-0.15,0.0
2015-12-31,18.58,$0.27,69.47
2015-09-30,19.1,$0.78,24.52
2015-06-30,19.51,$0.90,21.59
2015-03-31,20.57,$0.99,20.84
2014-12-31,22.18,$1.38,16.12
2014-09-30,25.04,$1.60,15.68
2014-06-30,29.34,$2.12,13.81
2014-03-31,23.93,$2.57,9.31
2013-12-31,23.85,$2.79,8.55
2013-09-30,24.21,$1.74,13.88
2013-06-30,19.84,$1.05,18.94
2013-03-31,20.06,$1.01,19.92
2012-12-31,21.96,$1.29,17.05
2012-09-30,21.79,$2.84,7.66
2012-06-30,19.12,$2.18,8.77
2012-03-31,21.49,$3.72,5.78
2011-09-30,16.61,$3.01,5.52
2011-06-30,25.44,$2.29,11.12
2011-03-31,29.09,$2.72,10.7
2010-12-31,24.79,$-0.03,0.0
2010-09-30,21.01,$0.29,72.66
2010-06-30,18.95,$-0.98,0.0
2010-03-31,20.88,$-0.56,0.0
2009-12-31,22.59,$-0.97,0.0
