Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data,Heartland Financial USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.67,,26.09
2024-06-30,44.19,$2.33,19.01
2023-12-31,36.81,$6.60,5.58
2023-09-30,28.5,$15.20,1.87
2023-06-30,26.74,$13.29,2.01
2023-03-31,36.39,$13.65,2.67
2022-12-31,43.96,$14.31,3.07
2024-03-31,34.71,$10.27,3.38
2022-09-30,40.67,$9.45,4.3
2022-06-30,38.73,$10.35,3.74
2022-03-31,44.31,$9.44,4.69
2021-12-31,46.64,$10.31,4.52
2021-09-30,44.08,$9.33,4.73
2021-03-31,45.63,$5.91,7.72
2020-12-31,36.48,$4.76,7.67
2020-09-30,26.96,$3.54,7.62
2020-06-30,29.87,$3.07,9.73
2020-03-31,26.78,$3.41,7.86
2019-12-31,43.93,$4.00,10.99
2019-09-30,39.36,$4.94,7.97
2019-06-30,39.2,$6.09,6.44
2019-03-31,37.24,$6.10,6.11
2018-12-31,38.25,$7.01,5.45
2018-09-30,50.33,$5.71,8.82
2018-06-30,47.44,$5.43,8.74
2018-03-31,45.78,$6.11,7.49
2017-12-31,46.18,$5.37,8.6
2017-09-30,42.37,$6.19,6.84
2017-06-30,40.3,$6.32,6.37
2017-03-31,42.64,$5.75,7.41
2016-12-31,40.88,$5.59,7.31
2016-09-30,30.58,$5.74,5.33
2016-06-30,29.84,$6.10,4.89
2016-03-31,25.96,$6.55,3.96
2015-12-31,26.35,$4.55,5.79
2015-09-30,30.41,$5.08,5.98
2015-06-30,31.1,$4.02,7.74
2015-03-31,27.19,$2.46,11.05
2014-12-31,22.51,$3.96,5.69
2014-09-30,19.75,$3.35,5.9
2014-06-30,20.37,$5.06,4.02
2014-03-31,22.14,$7.08,3.12
2013-12-31,23.52,$7.17,3.28
2013-09-30,22.68,$6.68,3.4
2013-06-30,22.3,$3.41,6.54
2013-03-31,20.42,$-1.12,0.0
2012-12-31,21.04,$-1.37,0.0
2012-09-30,21.78,$-4.01,0.0
2012-06-30,19.09,$-1.47,0.0
2021-06-30,42.85,$3.44,12.47
2011-12-31,12.06,$3.12,3.86
2011-09-30,11.07,$11.06,1.0
2011-06-30,11.29,$7.11,1.59
2011-03-31,13.09,$6.92,1.89
2010-12-31,13.36,$8.33,1.6
2012-03-31,13.72,$2.03,6.76
2010-09-30,11.71,$3.37,3.47
2010-06-30,13.05,$2.23,5.85
2010-03-31,11.99,$1.95,6.14
2009-12-31,10.7,$2.04,5.25
