Ambev S.A Price to Free Cash Flow Ratio Historical Data,Ambev S.A Price to Free Cash Flow Ratio Historical Data,Ambev S.A Price to Free Cash Flow Ratio Historical Data,Ambev S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.3,,8.9
2024-06-30,2.05,$0.26,7.93
2024-03-31,2.48,$0.26,9.69
2023-12-31,2.8,$0.24,11.74
2023-09-30,2.45,$0.21,11.52
2023-06-30,3.02,$0.18,16.98
2023-03-31,2.68,$0.16,17.02
2022-12-31,2.58,$0.17,14.85
2022-09-30,2.56,$0.16,16.35
2022-06-30,2.27,$0.17,13.49
2022-03-31,2.92,$0.16,18.29
2021-12-31,2.53,$0.18,13.94
2021-09-30,2.4,$0.17,14.22
2021-06-30,2.99,$0.17,17.14
2021-03-31,2.38,$0.19,12.57
2020-12-31,2.64,$0.17,15.15
2020-09-30,1.9,$0.21,9.13
2020-06-30,2.22,$0.17,13.09
2020-03-31,1.94,$0.19,10.05
2019-12-31,3.93,$0.22,18.21
2019-09-30,3.79,$0.23,16.53
2019-06-30,3.83,$0.26,14.51
2019-03-31,3.53,$0.27,13.12
2018-12-31,3.22,$0.25,12.91
2018-09-30,3.61,$0.26,13.67
2018-06-30,3.66,$0.28,13.22
2018-03-31,5.7,$0.27,21.14
2017-12-31,5.05,$0.29,17.27
2017-09-30,5.07,$0.26,19.74
2017-06-30,4.22,$0.25,17.05
2017-03-31,4.39,$0.23,19.33
2016-12-31,3.73,$0.15,24.66
2016-09-30,4.52,$0.22,20.73
2016-06-30,4.36,$0.21,20.52
2016-03-31,3.82,$0.25,15.19
2015-12-31,3.27,$0.35,9.21
2015-09-30,3.56,$0.37,9.65
2015-06-30,4.4,$0.36,12.32
2015-03-31,4.13,$0.35,11.88
2014-12-31,4.38,$0.31,14.03
2014-09-30,4.55,$0.18,24.74
2014-06-30,4.84,$0.42,11.44
2014-03-31,5.06,$0.43,11.64
2013-12-31,4.94,$0.42,11.76
2013-09-30,5.2,$0.56,9.31
2013-06-30,4.92,$0.35,14.02
2013-03-31,5.53,$0.36,15.28
2012-12-31,5.52,$0.37,14.99
2012-09-30,4.05,$0.36,11.38
2012-06-30,4.04,$0.36,11.34
2012-03-31,4.48,$0.35,12.76
2011-12-31,3.69,$0.36,10.12
2011-09-30,3.07,$0.28,11.06
2011-06-30,3.55,$0.25,14.27
2011-03-31,2.98,$0.26,11.52
2010-12-31,3.2,$0.29,10.94
2010-09-30,2.51,$0.26,9.49
2010-06-30,2.04,$0.28,7.33
2010-03-31,1.85,$0.27,6.93
2009-12-31,2.02,$0.25,8.18
