Supernus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Supernus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Supernus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Supernus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.84,,12.23
2024-06-30,26.75,$2.77,9.67
2024-03-31,34.11,$1.90,18.0
2023-12-31,28.94,$1.99,14.53
2023-09-30,27.57,$1.47,18.71
2023-06-30,30.06,$1.21,24.83
2023-03-31,36.23,$2.61,13.86
2022-12-31,35.67,$1.89,18.9
2022-09-30,33.85,$2.51,13.49
2022-06-30,28.92,$2.05,14.08
2022-03-31,32.32,$1.73,18.73
2021-12-31,29.16,$2.30,12.67
2021-09-30,26.67,$2.00,13.36
2021-06-30,30.79,$2.16,14.27
2021-03-31,26.18,$3.02,8.66
2020-12-31,25.16,$2.51,10.03
2020-09-30,20.84,$2.72,7.67
2020-06-30,23.75,$3.32,7.16
2020-03-31,17.99,$2.15,8.38
2019-12-31,23.72,$2.63,9.01
2019-09-30,27.48,$2.44,11.25
2019-06-30,33.09,$2.90,11.42
2019-03-31,35.04,$2.48,14.15
2018-12-31,33.22,$2.37,14.02
2018-09-30,50.35,$2.43,20.68
2018-06-30,59.85,$2.00,29.9
2018-03-31,45.8,$2.36,19.37
2017-12-31,39.85,$2.11,18.86
2017-09-30,40.0,$1.92,20.87
2017-06-30,43.1,$1.74,24.81
2017-03-31,31.3,$1.58,19.87
2016-12-31,25.25,$1.26,20.02
2016-09-30,24.73,$1.16,21.4
2016-06-30,20.37,$0.65,31.27
2016-03-31,15.25,$0.58,26.43
2015-12-31,13.44,$0.63,21.21
2015-09-30,14.03,$0.39,35.67
2015-06-30,16.98,$0.26,65.74
2015-03-31,12.09,$-0.13,0.0
2014-12-31,8.3,$-0.59,0.0
2014-09-30,8.69,$-0.99,0.0
2014-06-30,10.95,$-1.39,0.0
2014-03-31,8.94,$-1.77,0.0
2013-12-31,7.54,$-1.87,0.0
2013-09-30,7.33,$-3.07,0.0
2013-06-30,6.43,$-2.67,0.0
2013-03-31,5.62,$-3.32,0.0
