LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data,LKQ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,41.59,,14.59
2024-06-30,41.28,$2.85,14.48
2024-03-31,52.65,$3.89,13.54
2023-12-31,46.84,$3.76,12.46
2023-09-30,48.21,$4.00,12.06
2023-06-30,56.45,$3.57,15.8
2023-03-31,54.72,$3.07,17.8
2022-12-31,51.22,$3.73,13.73
2022-09-30,44.99,$2.61,17.24
2022-06-30,46.63,$3.10,15.03
2022-03-31,42.92,$3.29,13.04
2021-12-31,56.44,$3.67,15.36
2021-09-30,47.11,$5.04,9.35
2021-06-30,46.08,$4.30,10.72
2021-03-31,39.63,$3.21,12.33
2020-12-31,32.99,$1.61,20.55
2020-09-30,25.96,$1.68,15.43
2020-06-30,24.53,$2.37,10.35
2019-12-31,33.42,$2.62,12.76
2019-09-30,29.44,$3.66,8.05
2019-06-30,24.91,$3.27,7.62
2019-03-31,26.57,$2.36,11.27
2018-12-31,22.21,$2.37,9.36
2020-03-31,19.2,$1.60,11.99
2018-09-30,29.65,$1.21,24.58
2018-06-30,29.86,$0.93,32.13
2018-03-31,35.53,$0.98,36.39
2017-12-31,38.07,$1.12,33.94
2017-09-30,33.69,$1.20,27.98
2017-06-30,30.85,$1.43,21.63
2017-03-31,27.4,$1.53,17.89
2016-12-31,28.69,$1.39,20.6
2016-09-30,33.2,$1.10,30.29
2016-06-30,29.68,$1.35,21.97
2016-03-31,29.89,$0.99,30.29
2015-12-31,27.74,$1.22,22.82
2015-09-30,26.55,$1.40,18.96
2015-06-30,28.31,$1.23,22.93
2015-03-31,23.93,$1.10,21.67
2014-12-31,26.32,$0.81,32.52
2014-09-30,24.89,$0.91,27.23
2014-06-30,24.99,$0.83,30.23
2014-03-31,24.67,$0.93,26.64
2013-12-31,30.8,$0.71,43.66
2013-09-30,29.84,$0.66,45.41
2013-06-30,24.11,$0.26,91.21
2012-12-31,19.75,$0.39,50.36
2012-09-30,17.3,$0.55,31.34
2012-06-30,15.62,$0.69,22.49
2012-03-31,14.59,$0.86,16.92
2011-12-31,14.08,$0.56,25.03
2013-03-31,20.37,$0.62,33.03
2011-09-30,11.31,$0.30,37.38
2011-06-30,12.21,$0.26,46.75
2011-03-31,11.28,$0.27,41.13
2010-12-31,10.63,$0.34,31.28
2010-09-30,9.74,$0.38,25.72
2010-06-30,9.02,$0.41,21.76
2010-03-31,9.5,$0.53,17.9
2009-12-31,9.17,$0.38,24.18
