Primoris Services Price to Free Cash Flow Ratio Historical Data,Primoris Services Price to Free Cash Flow Ratio Historical Data,Primoris Services Price to Free Cash Flow Ratio Historical Data,Primoris Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.33,,11.84
2024-06-30,49.84,$5.27,9.47
2024-03-31,42.47,$4.75,8.94
2023-12-31,33.09,$2.94,11.27
2023-09-30,32.55,$2.73,11.91
2023-06-30,30.25,$1.43,21.19
2023-03-31,24.43,$-1.28,0.0
2022-12-31,21.68,$0.56,38.91
2022-09-30,16.02,$-2.24,0.0
2022-06-30,21.37,$-1.94,0.0
2022-03-31,23.33,$-0.32,0.0
2021-12-31,23.43,$-0.09,0.0
2021-09-30,23.87,$1.58,15.07
2021-06-30,28.61,$3.67,7.81
2021-03-31,32.14,$5.54,5.8
2020-12-31,26.74,$5.56,4.81
2020-09-30,17.43,$6.06,2.88
2020-06-30,17.11,$4.67,3.66
2020-03-31,15.26,$2.48,6.15
2019-12-31,21.26,$1.04,20.47
2019-09-30,18.7,$0.34,55.68
2019-06-30,19.89,$-1.24,0.0
2019-03-31,19.6,$-0.83,0.0
2018-12-31,18.08,$0.55,33.02
2018-09-30,23.38,$-1.49,0.0
2018-06-30,25.59,$0.01,2225.09
2018-03-31,23.42,$1.44,16.29
2017-12-31,25.43,$2.28,11.16
2017-09-30,27.46,$2.30,11.93
2017-06-30,23.24,$2.34,9.92
2017-03-31,21.59,$1.75,12.37
2016-12-31,21.13,$0.27,77.61
2016-09-30,19.06,$1.17,16.36
2016-06-30,17.47,$0.19,93.27
2016-03-31,22.36,$-0.80,0.0
2015-12-31,20.22,$-0.17,0.0
2015-09-30,16.4,$-0.89,0.0
2015-06-30,18.07,$-1.10,0.0
2015-03-31,15.65,$-0.43,0.0
2014-12-31,21.11,$-0.89,0.0
2014-09-30,24.33,$-0.44,0.0
2014-06-30,26.11,$0.38,69.18
2014-03-31,27.11,$-2.07,0.0
2013-12-31,28.12,$-0.09,0.0
2013-09-30,22.99,$-1.47,0.0
2013-06-30,17.77,$-1.90,0.0
2012-12-31,13.51,$1.36,9.91
2012-09-30,11.7,$0.83,14.05
2012-06-30,10.73,$0.93,11.5
2012-03-31,14.32,$0.41,35.04
2011-12-31,13.29,$-0.04,0.0
2013-03-31,19.88,$-0.29,0.0
2011-09-30,9.29,$1.63,5.69
2011-06-30,11.43,$2.27,5.02
2011-03-31,8.97,$1.88,4.77
2010-12-31,8.41,$1.31,6.45
2010-09-30,5.75,$0.01,0.0
2010-06-30,5.52,$0.46,12.13
2010-03-31,6.76,$0.41,16.49
2009-12-31,6.93,$0.67,10.35
