Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data,Columbus McKinnon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.99,,20.45
2024-06-30,34.47,$1.71,20.14
2024-03-31,44.46,$1.46,30.45
2023-12-31,38.81,$2.63,14.76
2023-09-30,34.65,$2.06,16.83
2023-06-30,40.27,$2.19,18.39
2023-03-31,36.74,$2.48,14.83
2022-12-31,32.04,$1.04,30.91
2022-09-30,25.75,$0.91,28.18
2022-06-30,27.86,$1.20,23.29
2022-03-31,41.56,$1.28,32.57
2021-12-31,45.28,$1.36,33.23
2021-09-30,47.27,$2.15,21.95
2021-06-30,47.1,$2.79,16.87
2021-03-31,51.45,$3.83,13.45
2020-12-31,37.44,$4.41,8.49
2020-09-30,32.18,$4.78,6.74
2020-06-30,32.47,$4.87,6.66
2020-03-31,24.21,$4.08,5.93
2019-12-31,38.7,$3.49,11.09
2019-09-30,35.17,$3.26,10.77
2019-06-30,40.45,$2.43,16.65
2019-03-31,33.05,$2.85,11.61
2018-12-31,28.96,$2.55,11.38
2018-09-30,37.95,$2.09,18.16
2018-06-30,41.56,$2.07,20.06
2018-03-31,34.3,$2.36,14.52
2017-12-31,38.22,$2.21,17.31
2017-09-30,36.17,$2.60,13.9
2017-06-30,24.25,$2.61,9.3
2017-03-31,23.64,$2.21,10.71
2016-12-31,25.71,$2.45,10.48
2016-09-30,16.93,$2.57,6.6
2016-06-30,13.4,$1.68,7.98
2016-03-31,14.88,$1.49,9.97
2015-12-31,17.8,$0.98,18.15
2015-09-30,17.06,$0.56,30.74
2015-06-30,23.45,$0.90,25.96
2015-03-31,25.23,$1.04,24.28
2014-12-31,26.22,$1.13,23.3
2014-09-30,20.53,$1.01,20.4
2014-06-30,25.21,$0.81,31.3
2014-03-31,24.93,$0.43,57.43
2013-12-31,25.26,$0.53,47.79
2013-09-30,22.36,$0.83,27.08
2013-06-30,19.84,$1.40,14.12
2013-03-31,17.92,$1.40,12.83
2012-12-31,15.37,$1.44,10.67
2012-09-30,14.06,$1.00,14.02
2012-06-30,14.04,$0.43,32.47
2012-03-31,15.16,$0.60,25.08
2011-12-31,11.81,$1.19,9.96
2011-09-30,10.2,$0.08,132.3
2011-06-30,16.71,$-0.05,0.0
2011-03-31,17.18,$-0.42,0.0
2010-12-31,18.91,$-0.57,0.0
2010-09-30,15.44,$-0.32,0.0
2010-06-30,13.0,$0.70,18.63
2010-03-31,14.77,$1.38,10.71
2009-12-31,12.72,$3.14,4.06
