Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data,Lear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.96,,9.64
2024-06-30,113.44,$11.00,10.32
2024-03-31,143.91,$10.44,13.79
2023-12-31,139.51,$10.54,13.24
2023-09-30,131.83,$9.87,13.35
2023-06-30,140.27,$7.49,18.72
2023-03-31,135.53,$2.42,56.03
2022-12-31,119.83,$6.40,18.74
2022-09-30,114.99,$0.47,246.39
2022-06-30,120.28,$-3.97,0.0
2022-03-31,135.49,$0.69,197.63
2021-12-31,172.88,$1.41,122.89
2021-09-30,147.25,$5.50,26.77
2021-06-30,164.42,$15.97,10.3
2021-03-31,169.8,$3.85,44.16
2020-12-31,148.77,$3.49,42.65
2020-09-30,101.85,$4.26,23.91
2020-06-30,101.82,$-0.44,0.0
2020-03-31,75.89,$13.98,5.43
2019-12-31,127.26,$10.99,11.58
2019-09-30,108.68,$14.98,7.25
2019-06-30,127.48,$13.50,9.44
2019-03-31,123.52,$14.44,8.55
2018-12-31,111.27,$16.67,6.68
2018-09-30,130.64,$14.23,9.18
2018-06-30,166.7,$15.25,10.93
2018-03-31,166.38,$16.00,10.4
2017-12-31,157.36,$17.16,9.17
2017-09-30,153.74,$14.86,10.35
2017-06-30,125.77,$14.54,8.65
2017-03-31,124.91,$14.51,8.61
2016-12-31,116.38,$14.92,7.8
2016-09-30,106.35,$16.48,6.45
2016-06-30,89.04,$16.21,5.49
2016-03-31,97.03,$14.85,6.54
2015-12-31,106.89,$10.10,10.59
2015-09-30,94.47,$9.18,10.3
2015-06-30,97.26,$8.83,11.02
2015-03-31,95.8,$5.88,16.28
2014-12-31,84.6,$6.16,13.74
2014-09-30,74.38,$4.54,16.38
2014-06-30,76.73,$3.53,21.72
2014-03-31,71.76,$2.70,26.54
2013-12-31,69.24,$4.16,16.64
2013-09-30,61.07,$3.34,18.29
2013-06-30,51.47,$3.38,15.23
2013-03-31,46.57,$3.00,15.5
2012-12-31,39.63,$2.72,14.57
2012-09-30,31.87,$2.40,13.27
2012-06-30,31.71,$2.22,14.26
2012-03-31,38.92,$2.91,13.37
2011-12-31,33.22,$4.33,7.67
2011-09-30,35.7,$4.02,8.88
2011-06-30,44.39,$4.12,10.78
2011-03-31,40.46,$4.70,8.61
2010-12-31,40.76,$3.96,10.28
2010-09-30,32.59,$-1.77,0.0
