Arcus Biosciences Price to Free Cash Flow Ratio Historical Data,Arcus Biosciences Price to Free Cash Flow Ratio Historical Data,Arcus Biosciences Price to Free Cash Flow Ratio Historical Data,Arcus Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.24,,0.0
2024-06-30,15.23,$-3.33,0.0
2024-03-31,18.88,$-3.15,0.0
2023-12-31,19.1,$-4.46,0.0
2023-09-30,17.95,$-4.12,0.0
2023-06-30,20.31,$-4.37,0.0
2023-03-31,18.24,$-4.53,0.0
2022-12-31,20.68,$6.00,3.45
2022-09-30,26.16,$6.16,4.25
2022-06-30,25.34,$6.49,3.91
2022-03-31,31.56,$6.38,4.95
2021-12-31,40.47,$-3.81,0.0
2021-09-30,34.87,$-3.50,0.0
2021-06-30,27.46,$0.97,28.41
2021-03-31,28.08,$1.64,17.13
2020-12-31,25.96,$1.97,13.17
2020-09-30,17.14,$2.22,7.71
2020-06-30,24.74,$-2.00,0.0
2020-03-31,13.88,$-2.03,0.0
2019-12-31,10.1,$-1.72,0.0
2019-09-30,9.1,$-1.93,0.0
2019-06-30,7.95,$-1.59,0.0
2019-03-31,12.49,$-0.24,0.0
2018-12-31,10.77,$-1.35,0.0
