Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data,Magnolia Oil & Gas Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.49,,10.2
2024-06-30,25.21,$2.60,9.7
2024-03-31,25.68,$2.30,11.19
2023-12-31,20.94,$2.11,9.93
2023-09-30,22.41,$2.07,10.85
2023-06-30,20.35,$3.14,6.47
2023-03-31,21.17,$4.05,5.23
2022-12-31,22.58,$4.63,4.88
2022-09-30,19.0,$4.88,3.89
2022-06-30,20.05,$4.27,4.7
2022-03-31,22.59,$3.70,6.11
2021-12-31,17.86,$3.23,5.54
2021-09-30,16.83,$2.36,7.14
2021-06-30,14.71,$1.73,8.52
2021-03-31,10.8,$0.73,14.7
2020-12-31,6.64,$0.53,12.57
2020-09-30,4.87,$0.85,5.71
2020-06-30,5.7,$1.08,5.29
2020-03-31,3.76,$1.63,2.31
2019-12-31,11.84,$1.27,9.3
2019-09-30,10.45,$1.43,7.3
2019-06-30,10.9,$1.85,5.88
2019-03-31,11.29,$1.48,7.65
2018-12-31,10.55,$1.59,6.64
2018-09-30,14.13,$0.90,15.73
2018-06-30,10.23,$0.00,0.0
2018-03-31,9.52,0,0.0
