DRDGOLD Price to Free Cash Flow Ratio Historical Data,DRDGOLD Price to Free Cash Flow Ratio Historical Data,DRDGOLD Price to Free Cash Flow Ratio Historical Data,DRDGOLD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.42,,inf
2024-06-30,8.5,0,0.0
2023-06-30,9.96,0,0.0
2022-12-31,6.83,0,0.0
2022-06-30,5.2,0,0.0
2021-12-31,7.42,0,0.0
2021-06-30,9.23,0,0.0
2019-12-31,4.03,0,0.0
2019-06-30,2.33,0,0.0
2018-12-31,1.59,0,0.0
2018-06-30,1.94,0,0.0
2017-12-31,2.46,0,0.0
2017-06-30,2.35,$-0.43,0.0
2016-06-30,4.32,$-0.47,0.0
2016-03-31,2.78,$-0.30,0.0
2015-12-31,1.09,$0.20,5.58
2015-06-30,1.21,$0.28,4.31
2015-03-31,1.13,$0.41,2.72
2014-12-31,1.01,$0.27,3.74
2014-06-30,1.92,$-0.20,0.0
2014-03-31,2.42,$-5.01,0.0
2013-12-31,2.39,$-0.23,0.0
2013-09-30,3.62,$0.38,9.49
2013-06-30,3.43,$0.45,7.55
2013-03-31,4.94,$4.94,1.0
2012-12-31,4.99,$0.60,8.35
2012-09-30,3.86,$0.68,5.68
2012-06-30,3.98,$1.02,3.91
2012-03-31,4.53,$2.08,2.18
2011-12-31,3.3,$2.00,1.65
2011-09-30,3.03,$1.58,1.93
2011-06-30,2.89,$1.21,2.39
2011-03-31,3.17,$0.74,4.29
2010-12-31,2.91,$0.28,10.36
2010-09-30,3.06,$-0.04,0.0
2010-06-30,2.56,$-0.44,0.0
2010-03-31,2.88,$-0.63,0.0
2009-12-31,4.03,$-0.62,0.0
2009-09-30,4.24,$-0.81,0.0
2009-06-30,4.44,$-0.28,0.0
