MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.39,,9.94
2024-06-30,14.5,$1.35,10.77
2024-03-31,14.06,$2.45,5.74
2023-12-31,12.46,$3.01,4.14
2023-09-30,12.18,$-0.35,0.0
2023-06-30,10.81,$0.34,31.46
2023-03-31,9.52,$-0.12,0.0
2022-12-31,9.19,0,0.0
2022-09-30,7.98,$2.97,2.68
2022-06-30,8.19,$-0.30,0.0
2022-03-31,9.73,$-0.04,0.0
2021-12-31,9.16,$-0.86,0.0
2021-09-30,9.03,$0.68,13.32
2021-06-30,9.46,$5.02,1.89
2021-03-31,9.28,$6.18,1.5
2020-12-31,7.0,$6.18,1.13
2020-09-30,5.28,$1.65,3.2
2020-06-30,5.87,$-3.87,0.0
2020-03-31,3.97,$-7.66,0.0
2019-12-31,9.71,$-7.66,0.0
2019-09-30,8.72,$-5.17,0.0
2019-06-30,8.34,$0.50,16.59
2019-03-31,7.77,$-0.66,0.0
2018-12-31,6.18,$-0.66,0.0
2018-09-30,7.87,$-0.76,0.0
2018-06-30,7.84,$-2.16,0.0
2018-03-31,7.16,$1.62,4.41
2017-12-31,7.55,$1.62,4.66
2017-09-30,7.94,$1.70,4.67
2017-06-30,8.1,$2.29,3.53
2017-03-31,8.13,$6.30,1.29
2016-12-31,7.09,$6.30,1.13
2016-09-30,6.85,$6.79,1.01
2016-06-30,6.38,$5.89,1.08
2016-03-31,6.16,$4.09,1.51
2015-12-31,5.59,$4.09,1.37
2015-09-30,5.65,$3.83,1.47
2015-06-30,7.08,$3.05,2.32
2015-03-31,7.47,$-0.91,0.0
2014-12-31,7.04,$-0.91,0.0
2014-09-30,7.54,$-2.98,0.0
2014-06-30,7.76,$-2.16,0.0
2014-03-31,7.32,$-1.54,0.0
2013-12-31,7.29,$-1.54,0.0
2013-09-30,6.85,$-0.31,0.0
2013-06-30,6.35,$-0.97,0.0
2013-03-31,6.69,$1.41,4.75
2012-12-31,6.53,$1.41,4.64
2012-09-30,6.01,$2.41,2.5
2012-06-30,5.71,$2.77,2.06
2012-03-31,5.2,$-0.44,0.0
2011-12-31,4.54,$-0.44,0.0
2011-09-30,5.08,$3.81,1.33
2011-06-30,6.68,$-0.46,0.0
2011-03-31,7.69,$-4.31,0.0
2010-12-31,6.88,$-4.31,0.0
2010-09-30,6.21,$-1.95,0.0
2010-06-30,5.51,$2.06,2.68
2010-03-31,7.32,$8.80,0.83
2009-12-31,5.36,$8.80,0.61
