Par Pacific Holdings Price to Free Cash Flow Ratio Historical Data,Par Pacific Holdings Price to Free Cash Flow Ratio Historical Data,Par Pacific Holdings Price to Free Cash Flow Ratio Historical Data,Par Pacific Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.23,,6.33
2024-06-30,25.25,$2.88,8.76
2024-03-31,37.06,$6.15,6.03
2023-12-31,36.37,$8.17,4.45
2023-09-30,35.94,$9.75,3.69
2023-06-30,26.61,$11.33,2.35
2023-03-31,29.2,$9.16,3.19
2022-12-31,23.25,$6.69,3.47
2022-09-30,16.41,$4.05,4.05
2022-06-30,15.59,$-0.74,0.0
2022-03-31,13.02,$-0.77,0.0
2021-12-31,16.49,$0.81,20.44
2021-09-30,15.72,$0.71,22.1
2021-06-30,16.82,$-0.43,0.0
2021-03-31,14.12,$-0.70,0.0
2020-12-31,13.98,$-1.89,0.0
2020-09-30,6.77,$-0.54,0.0
2020-06-30,8.99,$0.86,10.48
2020-03-31,7.1,$1.78,3.98
2019-12-31,23.24,$0.45,51.96
2019-09-30,22.86,$1.13,20.32
2019-06-30,20.52,$0.51,40.02
2019-03-31,17.81,$-0.42,0.0
2018-12-31,14.18,$0.92,15.48
2018-09-30,20.4,$1.01,20.23
2018-03-31,17.17,$1.37,12.52
2017-12-31,19.28,$1.64,11.75
2017-09-30,20.8,$1.97,10.54
2017-06-30,18.04,$0.96,18.71
2017-03-31,16.49,$-0.98,0.0
2016-12-31,14.54,$-1.07,0.0
2016-09-30,13.08,$-1.92,0.0
2016-06-30,15.34,$-0.39,0.0
2016-03-31,18.76,$0.96,19.45
2015-12-31,23.54,$2.92,8.06
2015-09-30,20.83,$3.85,5.41
2015-06-30,18.72,$2.89,6.48
2015-03-31,23.21,$0.43,53.49
2014-12-31,16.25,$-2.09,0.0
2014-09-30,16.85,$-4.19,0.0
2014-06-30,20.25,$-4.66,0.0
2014-03-31,19.98,$-7.40,0.0
2013-12-31,22.3,$-4.20,0.0
2013-03-31,14.2,$-2.98,0.0
2012-12-31,12.0,$-2.01,0.0
2012-09-30,10.5,$3.31,3.17
