OPENLANE Price to Free Cash Flow Ratio Historical Data,OPENLANE Price to Free Cash Flow Ratio Historical Data,OPENLANE Price to Free Cash Flow Ratio Historical Data,OPENLANE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.33,,9.85
2024-06-30,16.59,$1.66,10.01
2024-03-31,17.3,$6.58,2.63
2023-12-31,14.81,$6.14,2.41
2023-09-30,14.92,$4.71,3.17
2023-06-30,15.22,$1.68,9.07
2022-12-31,13.05,$-4.09,0.0
2022-09-30,11.17,$-2.38,0.0
2022-06-30,14.77,$-0.27,0.0
2022-03-31,18.05,$2.63,6.86
2021-12-31,15.62,$4.22,3.7
2023-03-31,13.68,$3.32,4.12
2021-09-30,16.39,$2.29,7.16
2021-06-30,17.55,$2.91,6.02
2021-03-31,15.0,$4.27,3.51
2020-12-31,18.61,$2.49,7.48
2020-09-30,14.4,$3.20,4.5
2020-06-30,13.76,$2.80,4.92
2020-03-31,12.0,$1.84,6.51
2019-12-31,21.47,$2.86,7.5
2019-09-30,23.98,$3.22,7.45
2019-06-30,24.24,$3.78,6.42
2019-03-31,49.44,$3.93,12.56
2018-12-31,45.66,$4.36,10.47
2018-09-30,56.7,$4.44,12.78
2018-06-30,51.76,$3.83,13.5
2018-03-31,50.87,$3.70,13.74
2017-12-31,47.11,$3.62,13.0
2017-09-30,44.22,$3.11,14.2
2017-06-30,38.6,$3.12,12.37
2017-03-31,39.87,$2.12,18.85
2016-12-31,38.64,$1.60,24.11
2016-09-30,38.84,$2.10,18.46
2016-06-30,37.3,$2.14,17.45
2016-03-31,33.84,$2.26,14.94
2015-12-31,32.6,$2.44,13.34
2015-09-30,31.02,$2.10,14.76
2015-06-30,32.44,$1.98,16.35
2015-03-31,32.67,$2.26,14.43
2014-12-31,29.63,$2.34,12.68
2014-09-30,24.3,$2.49,9.78
2014-06-30,26.82,$2.49,10.78
2014-03-31,25.34,$2.41,10.53
2013-12-31,24.47,$2.40,10.21
2013-09-30,23.15,$1.80,12.84
2013-06-30,18.65,$1.65,11.33
2013-03-31,16.19,$1.44,11.24
2012-12-31,16.21,$1.40,11.62
2012-09-30,15.65,$1.89,8.29
2012-06-30,13.63,$1.69,8.07
2012-03-31,12.85,$1.57,8.21
2011-12-31,10.7,$1.60,6.69
2011-09-30,9.6,$1.12,8.58
2011-06-30,14.99,$1.48,10.11
2011-03-31,12.16,$1.69,7.18
2010-12-31,10.94,$2.87,3.81
2010-09-30,10.0,$4.57,2.19
