AppFolio Price to Free Cash Flow Ratio Historical Data,AppFolio Price to Free Cash Flow Ratio Historical Data,AppFolio Price to Free Cash Flow Ratio Historical Data,AppFolio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,201.61,,49.7
2024-06-30,244.57,$4.06,60.29
2024-03-31,246.74,$2.39,103.36
2023-12-31,173.24,$1.27,135.92
2023-09-30,182.63,$0.58,315.86
2023-06-30,172.14,$0.04,4369.04
2023-03-31,124.48,$0.32,383.84
2022-12-31,105.38,$0.12,891.54
2022-09-30,104.72,$0.08,1368.89
2022-06-30,90.64,$-0.07,0.0
2022-03-31,113.21,$0.18,627.9
2021-12-31,121.06,$0.07,1616.29
2021-09-30,120.4,$-0.08,0.0
2021-06-30,141.2,$-0.03,0.0
2021-03-31,141.41,$0.10,1465.39
2020-12-31,180.04,$0.09,1998.22
2020-09-30,141.81,$0.42,333.91
2020-06-30,162.71,$0.29,567.53
2020-03-31,110.95,$0.10,1115.08
2019-12-31,109.95,$0.28,398.8
2019-09-30,95.14,$0.33,290.06
2019-06-30,102.27,$0.36,283.61
2019-03-31,79.4,$0.46,173.32
2018-12-31,59.22,$0.61,96.32
2018-09-30,78.4,$0.53,148.04
2018-06-30,61.15,$0.56,108.5
2018-03-31,40.85,$0.47,87.45
2017-12-31,41.5,$0.48,87.33
2017-09-30,47.95,$0.44,109.35
2017-06-30,32.6,$0.23,144.38
2017-03-31,27.2,$0.04,690.36
2016-12-31,23.85,$-0.12,0.0
2016-09-30,19.44,$-0.73,0.0
2016-06-30,14.46,$-0.23,0.0
2016-03-31,12.24,$-1.00,0.0
