Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.97,,9.43
2024-06-30,23.73,$2.65,8.96
2024-03-31,18.86,$3.24,5.82
2023-12-31,19.24,$3.58,5.38
2023-09-30,19.85,$4.93,4.03
2023-06-30,15.73,$5.67,2.77
2023-03-31,16.57,$4.87,3.4
2022-12-31,16.17,$4.12,3.93
2022-09-30,17.85,$3.37,5.31
2022-06-30,13.96,$2.61,5.35
2022-03-31,11.61,$2.55,4.54
2021-12-31,9.34,$2.49,3.75
2021-09-30,7.89,$2.52,3.13
2021-06-30,5.17,$2.36,2.19
2021-03-31,4.09,$0.78,5.26
2020-12-31,3.16,$0.92,3.44
2020-09-30,1.95,$0.44,4.42
2020-06-30,2.3,$0.23,9.96
2019-12-31,7.3,$1.64,4.45
2019-09-30,10.34,$4.61,2.24
2019-06-30,10.62,$4.61,2.3
2019-03-31,12.38,$5.11,2.42
2018-12-31,10.26,$5.25,1.95
2020-03-31,2.18,$3.27,0.67
2018-09-30,11.75,$4.13,2.84
2018-06-30,10.3,$4.14,2.49
2018-03-31,9.63,$5.51,1.75
2017-12-31,10.47,$6.72,1.56
2017-09-30,10.02,$9.12,1.1
2017-03-31,10.71,$9.56,1.12
2016-12-31,10.91,$8.25,1.32
2016-09-30,10.58,$7.53,1.41
2016-06-30,7.35,$5.91,1.24
2016-03-31,5.27,$5.98,0.88
2015-12-31,5.82,$6.82,0.85
2015-09-30,9.31,$7.79,1.2
2015-06-30,10.15,$4.19,2.42
2015-03-31,13.32,$4.31,3.09
2014-12-31,16.87,$4.88,3.45
2017-06-30,9.53,$3.05,3.13
2014-09-30,16.56,$5.70,2.9
2014-06-30,17.8,$5.29,3.37
2014-03-31,15.84,$4.31,3.68
2013-12-31,14.29,$5.10,2.8
2013-09-30,13.54,$4.60,2.95
2013-06-30,12.71,$4.40,2.89
2013-03-31,11.27,$3.40,3.31
2012-12-31,10.1,$1.78,5.67
2012-09-30,10.25,$1.85,5.53
2012-06-30,9.43,$2.06,4.57
2012-03-31,9.94,$2.80,3.55
2011-12-31,12.34,$3.45,3.58
2011-09-30,10.57,$3.90,2.71
2011-06-30,12.33,$3.62,3.4
2011-03-31,12.81,$3.53,3.63
2010-12-31,10.22,$3.15,3.25
2010-09-30,8.94,$1.75,5.11
2010-06-30,6.79,$0.67,10.16
2010-03-31,6.22,$-0.08,0.0
2009-12-31,6.32,$-0.62,0.0
