Autohome Price to Free Cash Flow Ratio Historical Data,Autohome Price to Free Cash Flow Ratio Historical Data,Autohome Price to Free Cash Flow Ratio Historical Data,Autohome Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.72,,inf
2024-06-30,26.89,0,0.0
2023-12-31,27.49,$2.72,10.1
2023-09-30,28.55,$2.84,10.04
2023-06-30,27.43,$2.84,9.64
2023-03-31,31.48,$2.84,11.07
2022-12-31,28.24,$2.84,9.93
2022-09-30,26.54,$4.15,6.4
2022-06-30,36.3,$4.15,8.75
2022-03-31,28.07,$4.15,6.77
2021-12-31,26.73,$4.15,6.45
2024-03-31,25.69,0,0.0
2021-09-30,42.55,$3.91,10.87
2021-06-30,57.99,$3.91,14.82
2021-03-31,84.57,$3.91,21.61
2020-12-31,89.69,$3.91,22.92
2020-09-30,86.43,$3.23,26.77
2020-06-30,67.97,$3.23,21.06
2020-03-31,63.26,$3.23,19.6
2019-12-31,71.27,$3.23,22.08
2019-09-30,74.05,$3.66,20.25
2019-06-30,76.27,$3.66,20.85
2019-03-31,93.64,$3.66,25.6
2018-12-31,69.68,$3.66,19.05
2018-09-30,68.95,$3.11,22.19
2018-06-30,89.97,$3.11,28.95
2018-03-31,76.55,$3.11,24.63
2017-12-31,57.01,$3.11,18.34
2017-09-30,52.96,$1.91,27.75
2017-06-30,39.98,$1.91,20.95
2017-03-31,28.0,$1.91,14.67
2016-12-31,22.28,$1.91,11.68
2016-09-30,21.38,$1.83,11.66
2016-06-30,17.73,$1.83,9.67
2016-03-31,24.63,$1.83,13.43
2015-12-31,30.78,$1.83,16.79
2015-09-30,28.67,$1.39,20.64
2015-06-30,44.55,$0.53,84.01
2015-03-31,38.76,$1.39,27.9
2014-12-31,32.05,$1.39,23.07
2014-09-30,37.03,0,0.0
