Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.22,,4.81
2024-06-30,35.04,$10.44,3.35
2024-03-31,41.48,$11.37,3.65
2023-12-31,45.43,$13.13,3.46
2023-09-30,28.88,$9.81,2.94
2023-06-30,26.22,$6.93,3.79
2023-03-31,24.26,$2.11,11.51
2022-12-31,30.04,$1.84,16.34
2022-09-30,30.41,$1.85,16.42
2022-06-30,33.65,$1.21,27.9
2022-03-31,50.49,$1.29,39.24
2021-12-31,86.56,$-2.37,0.0
2021-09-30,63.07,$-2.36,0.0
2021-06-30,58.46,$-7.14,0.0
2021-03-31,67.82,$-4.80,0.0
2020-12-31,46.97,$-6.41,0.0
2020-09-30,25.05,$-10.16,0.0
2020-06-30,14.33,$-7.55,0.0
2020-03-31,12.29,$-11.95,0.0
2019-12-31,18.7,$-12.39,0.0
2019-09-30,17.78,$-12.98,0.0
2019-06-30,16.82,$-7.34,0.0
2019-03-31,14.3,$-3.33,0.0
2018-12-31,14.47,$-2.51,0.0
2018-09-30,26.14,$-0.99,0.0
2018-06-30,29.86,$-5.74,0.0
2018-03-31,27.06,$-8.64,0.0
2017-12-31,23.19,$-10.83,0.0
2017-09-30,22.77,$-10.08,0.0
2017-06-30,23.47,$-8.59,0.0
2017-03-31,20.98,$-7.99,0.0
2016-12-31,17.91,$-6.60,0.0
2016-09-30,13.94,$-7.72,0.0
2016-06-30,13.62,$-16.25,0.0
