Recursion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Recursion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Recursion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Recursion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.55,,0.0
2024-06-30,7.5,$-1.49,0.0
2024-03-31,9.97,$-1.49,0.0
2023-12-31,9.86,$-1.44,0.0
2023-09-30,7.65,$-1.34,0.0
2023-06-30,7.47,$-1.40,0.0
2023-03-31,6.67,$-1.52,0.0
2022-12-31,7.71,$-0.69,0.0
2022-09-30,10.64,$-0.78,0.0
2022-06-30,8.14,$-0.56,0.0
2022-03-31,7.16,$-0.75,0.0
