PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.09,,7.63
2024-07-31,101.95,$13.13,7.77
2024-04-30,108.76,$12.04,9.03
2024-01-31,120.18,$11.75,10.23
2023-10-31,74.27,$5.91,12.56
2023-07-31,89.5,$1.55,57.84
2023-04-30,85.64,$-0.71,0.0
2023-01-31,89.68,$-3.79,0.0
2022-10-31,51.16,$-1.82,0.0
2022-07-31,61.69,$4.05,15.22
2022-04-30,72.47,$9.28,7.81
2022-01-31,94.56,$11.17,8.46
2021-10-31,108.78,$8.59,12.66
2021-07-31,104.09,$7.70,13.51
2021-04-30,112.61,$6.12,18.41
2021-01-31,84.83,$6.62,12.82
2020-10-31,57.99,$10.12,5.73
2020-07-31,48.41,$8.80,5.5
2020-04-30,48.98,$0.94,52.28
2020-01-31,86.63,$9.39,9.23
2019-10-31,86.59,$1.60,53.98
2019-07-31,88.29,$5.61,15.74
2019-01-31,108.27,$6.12,17.69
2018-10-31,119.82,$6.12,19.59
2018-07-31,152.25,$5.56,27.4
2018-04-30,158.31,$0.44,355.91
2018-01-31,153.72,$4.90,31.4
2019-04-30,128.04,$-2.35,0.0
2017-10-31,125.66,$2.59,48.43
2017-07-31,118.17,$7.81,15.13
2017-04-30,100.05,$6.72,14.88
2017-01-31,92.86,$13.40,6.93
2016-10-31,105.86,$10.40,10.18
2016-04-30,94.52,$8.35,11.32
2016-01-31,72.52,$7.72,9.4
2015-10-31,89.85,$5.06,17.74
2015-07-31,114.59,$7.26,15.79
2015-04-30,102.02,$5.73,17.79
2015-01-31,108.81,$7.63,14.26
2016-07-31,99.97,$3.97,25.15
2014-10-31,112.81,$5.50,20.51
2014-07-31,108.66,$3.69,29.46
2014-04-30,123.8,$3.15,39.28
2014-01-31,119.13,$2.12,56.3
2013-10-31,122.75,$1.27,96.31
2013-07-31,129.82,$2.39,54.32
2013-04-30,113.65,$3.13,36.27
2013-01-31,117.02,$4.86,24.09
2012-10-31,108.24,$5.65,19.17
2012-07-31,78.13,$5.19,15.07
2012-04-30,87.31,$4.47,19.54
2012-01-31,75.86,$4.40,17.24
2011-10-31,73.09,$3.40,21.48
2011-07-31,70.24,$3.72,18.87
2011-04-30,69.08,$4.09,16.87
2011-01-31,57.23,$3.83,14.94
2010-10-31,60.11,$3.65,16.46
2010-07-31,50.81,$3.36,15.13
2010-04-30,61.66,$3.30,18.7
2010-01-31,38.42,$3.63,10.59
2009-10-31,39.23,$4.07,9.63
