Bank Of Nova Scotia Price to Free Cash Flow Ratio Historical Data,Bank Of Nova Scotia Price to Free Cash Flow Ratio Historical Data,Bank Of Nova Scotia Price to Free Cash Flow Ratio Historical Data,Bank Of Nova Scotia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.51,,7.06
2024-07-31,45.76,$7.57,6.04
2024-04-30,44.25,$17.68,2.5
2024-01-31,44.38,$10.47,4.24
2023-10-31,37.78,$19.26,1.96
2023-07-31,46.2,$14.78,3.13
2023-04-30,45.06,$-6.31,0.0
2023-01-31,48.13,$7.84,6.14
2022-10-31,42.3,$10.53,4.02
2022-07-31,52.53,$16.30,3.22
2022-04-30,53.84,$35.84,1.5
2022-01-31,60.5,$0.02,2479.48
2021-10-31,54.52,$-8.61,0.0
2021-07-31,51.33,$-6.99,0.0
2021-04-30,51.77,$-44.43,0.0
2021-01-31,42.83,$31.91,1.34
2020-10-31,32.96,$33.45,0.99
2020-07-31,32.1,$30.11,1.07
2020-04-30,30.84,$50.65,0.61
2020-01-31,41.29,$5.29,7.8
2019-10-31,42.8,$-7.34,0.0
2019-07-31,39.38,$6.23,6.32
2019-04-30,39.64,$-1.26,0.0
2019-01-31,40.5,$-1.59,0.0
2018-10-31,38.2,$11.00,3.47
2018-07-31,41.68,$-5.05,0.0
2018-04-30,42.76,$15.78,2.71
2018-01-31,45.78,$10.84,4.22
2017-10-31,43.99,$10.38,4.24
2017-07-31,42.07,$-5.47,0.0
2017-04-30,37.2,$-6.69,0.0
2017-01-31,39.59,$-0.32,0.0
2016-10-31,35.25,$2.31,15.28
2016-07-31,32.94,$13.09,2.52
2016-04-30,33.65,$16.82,2.0
2016-01-31,25.91,$12.62,2.05
2015-10-31,29.43,$8.91,3.3
2015-07-31,30.39,$18.10,1.68
2015-04-30,33.78,$-0.40,0.0
2015-01-31,29.1,$6.47,4.5
2014-10-31,36.76,$3.50,10.49
2014-07-31,39.94,$0.42,94.58
2014-04-30,35.13,$5.49,6.4
2014-01-31,31.38,$0.80,39.25
2013-10-31,34.45,$7.78,4.43
2013-07-31,31.63,$-1.07,0.0
2013-04-30,31.63,$-2.05,0.0
2013-01-31,31.98,$8.68,3.69
2012-10-31,29.25,$7.60,3.85
2012-07-31,27.78,$29.53,0.94
2012-04-30,28.9,$36.85,0.78
2012-01-31,26.49,$18.46,1.43
2011-10-31,26.87,$0.65,41.33
2011-07-31,28.7,$-11.59,0.0
2011-04-30,30.6,$-8.27,0.0
2011-01-31,28.14,$-12.36,0.0
2010-10-31,26.37,$-3.12,0.0
2010-07-31,24.48,$-6.23,0.0
2010-04-30,24.6,$-13.23,0.0
2010-01-31,20.15,$-11.13,0.0
2009-10-31,19.8,$-10.94,0.0
