Rapid7 Price to Free Cash Flow Ratio Historical Data,Rapid7 Price to Free Cash Flow Ratio Historical Data,Rapid7 Price to Free Cash Flow Ratio Historical Data,Rapid7 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.19,,23.04
2024-06-30,43.23,$1.74,24.78
2024-03-31,49.04,$1.78,27.62
2023-12-31,57.1,$1.38,41.28
2023-09-30,45.78,$0.88,52.27
2023-06-30,45.28,$1.05,42.98
2023-03-31,45.91,$0.61,75.51
2022-12-31,33.98,$0.69,48.91
2022-09-30,42.9,$0.18,241.96
2022-06-30,66.8,$0.26,252.27
2022-03-31,111.24,$0.36,306.62
2021-12-31,117.69,$0.63,185.57
2021-09-30,113.02,$0.51,221.09
2021-06-30,94.63,$0.39,243.58
2021-03-31,74.61,$0.27,275.11
2020-12-31,90.16,$-0.29,0.0
2020-09-30,61.24,$-0.06,0.0
2020-06-30,51.02,$-0.37,0.0
2020-03-31,43.33,$-0.49,0.0
2019-12-31,56.02,$-0.76,0.0
2019-09-30,45.39,$-0.69,0.0
2019-06-30,57.84,$-0.68,0.0
2019-03-31,50.61,$-0.81,0.0
2018-12-31,31.16,$-0.22,0.0
2018-09-30,36.92,$-0.21,0.0
2018-06-30,28.22,$0.06,459.61
2018-03-31,25.57,$0.22,115.54
2017-12-31,18.66,$0.17,109.76
2017-09-30,17.6,$0.16,109.45
2017-06-30,16.83,$0.07,251.95
2017-03-31,14.98,$0.23,66.49
2016-12-31,12.17,$0.11,108.86
2016-09-30,17.65,$-0.13,0.0
2016-06-30,12.58,$-0.28,0.0
