Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.25,,39.14
2024-06-30,24.08,$0.72,33.36
2024-03-31,22.56,$-0.32,0.0
2023-12-31,25.26,$0.01,0.0
2023-09-30,27.38,$0.07,406.22
2023-06-30,28.31,$0.76,37.44
2023-03-31,26.28,$1.85,14.22
2022-12-31,22.91,$1.98,11.56
2022-09-30,19.81,$1.81,10.93
2022-03-31,24.71,$1.20,20.53
2021-12-31,26.0,$1.14,22.78
2021-09-30,21.91,$1.31,16.76
2021-06-30,20.91,$0.65,32.39
2021-03-31,23.91,$1.01,23.57
2020-12-31,19.77,$1.15,17.21
2022-06-30,21.76,$1.08,20.1
2020-09-30,21.49,$2.57,8.36
2020-06-30,21.39,$2.44,8.78
2020-03-31,16.72,$1.57,10.63
2019-12-31,18.79,$1.47,12.78
2019-09-30,18.65,$0.58,31.92
2019-06-30,15.62,$0.35,44.6
2019-03-31,17.97,$0.84,21.41
2018-12-31,15.9,$0.82,19.49
2018-09-30,21.21,$0.90,23.65
2018-06-30,23.3,$0.46,50.83
2018-03-31,22.03,$0.34,65.73
