Viasat Price to Free Cash Flow Ratio Historical Data,Viasat Price to Free Cash Flow Ratio Historical Data,Viasat Price to Free Cash Flow Ratio Historical Data,Viasat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.56,,0.0
2024-06-30,12.7,$-5.53,0.0
2024-03-31,18.09,$-7.26,0.0
2023-12-31,27.95,$-9.13,0.0
2023-09-30,18.46,$-9.54,0.0
2023-06-30,41.26,$-10.32,0.0
2023-03-31,33.84,$-10.49,0.0
2022-12-31,31.65,$-9.75,0.0
2022-09-30,30.23,$-7.92,0.0
2022-06-30,30.63,$-7.21,0.0
2022-03-31,48.8,$-6.60,0.0
2021-12-31,44.54,$-3.93,0.0
2021-09-30,55.07,$-3.12,0.0
2021-06-30,49.84,$-3.16,0.0
2021-03-31,48.07,$-1.51,0.0
2020-12-31,32.65,$-1.55,0.0
2020-09-30,34.39,$-3.22,0.0
2020-06-30,38.37,$-3.04,0.0
2020-03-31,35.92,$-4.17,0.0
2019-12-31,73.2,$-4.60,0.0
2019-09-30,75.32,$-3.77,0.0
2019-06-30,80.82,$-5.32,0.0
2019-03-31,77.5,$-4.93,0.0
2018-12-31,58.95,$-5.77,0.0
2018-09-30,63.95,$-5.75,0.0
2018-06-30,65.72,$-4.94,0.0
2018-03-31,65.72,$-2.62,0.0
2017-12-31,74.85,$-1.21,0.0
2017-09-30,64.32,$-0.42,0.0
2017-06-30,66.2,$0.50,131.66
2017-03-31,63.82,$-1.42,0.0
2016-12-31,66.22,$-1.79,0.0
2016-09-30,74.65,$-2.38,0.0
2016-06-30,71.4,$-1.82,0.0
2016-03-31,73.48,$-1.64,0.0
2015-12-31,61.01,$-1.60,0.0
2015-09-30,64.29,$-1.40,0.0
2015-06-30,60.26,$-0.50,0.0
2015-03-31,59.61,$-0.35,0.0
2014-12-31,63.03,$0.12,514.95
2014-09-30,55.12,$-0.57,0.0
2014-06-30,57.96,$-2.64,0.0
2014-03-31,69.04,$-2.24,0.0
2013-12-31,62.65,$-2.71,0.0
2013-09-30,63.64,$-2.41,0.0
2013-06-30,71.46,$-1.51,0.0
2013-03-31,48.44,$-1.92,0.0
2012-12-31,38.9,$-0.92,0.0
2012-09-30,37.38,$0.31,119.69
2012-06-30,37.77,$-1.64,0.0
2012-03-31,48.21,$-1.44,0.0
2011-12-31,46.12,$-2.37,0.0
2011-09-30,33.31,$-3.08,0.0
2011-06-30,43.27,$-1.47,0.0
2011-03-31,39.84,$-0.90,0.0
2010-12-31,44.41,$-0.49,0.0
2010-09-30,41.11,$0.71,57.53
2010-06-30,32.56,$0.44,74.8
2010-03-31,34.61,$-0.63,0.0
2009-12-31,31.78,$-2.53,0.0
