Tesla Price to Free Cash Flow Ratio Historical Data,Tesla Price to Free Cash Flow Ratio Historical Data,Tesla Price to Free Cash Flow Ratio Historical Data,Tesla Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,214.11,,434.21
2024-06-30,197.88,$0.49,401.3
2024-03-31,175.79,$0.40,443.02
2023-12-31,248.48,$1.25,198.7
2023-09-30,250.22,$1.06,235.79
2023-06-30,261.77,$1.77,147.92
2023-03-31,207.46,$1.93,107.38
2022-12-31,123.18,$2.45,50.35
2022-09-30,265.25,$2.86,92.74
2022-06-30,224.47,$2.31,97.38
2022-03-31,359.2,$2.04,176.49
2021-12-31,352.26,$1.12,314.97
2021-09-30,258.49,$0.88,293.41
2021-06-30,226.57,$0.92,247.1
2021-03-31,222.64,$0.88,252.29
2020-12-31,235.22,$0.86,274.31
2020-09-30,143.0,$0.66,217.17
2020-06-30,71.99,$0.37,196.2
2020-03-31,34.93,$0.46,76.02
2019-12-31,27.89,$0.41,68.84
2019-09-30,16.06,$0.36,44.09
2019-06-30,14.9,$0.59,25.38
2019-03-31,18.66,$0.06,312.52
2018-12-31,22.19,$-0.00,0.0
2018-09-30,17.65,$-0.46,0.0
2018-06-30,22.86,$-1.38,0.0
2018-03-31,17.74,$-1.56,0.0
2017-12-31,20.76,$-1.40,0.0
2017-09-30,22.74,$-1.74,0.0
2017-06-30,24.11,$-1.08,0.0
2017-03-31,18.55,$-0.67,0.0
2016-12-31,14.25,$-0.65,0.0
2016-09-30,13.6,$-0.42,0.0
2016-06-30,14.15,$-0.82,0.0
2016-03-31,15.32,$-1.06,0.0
2015-12-31,16.0,$-1.12,0.0
2015-09-30,16.56,$-1.13,0.0
2015-06-30,17.88,$-1.00,0.0
2015-03-31,12.58,$-0.80,0.0
2014-12-31,14.83,$-0.55,0.0
2014-09-30,16.18,$-0.28,0.0
2014-06-30,16.0,$-0.10,0.0
2014-03-31,13.9,$-0.05,0.0
2013-12-31,10.03,$0.00,0.0
2013-09-30,12.89,$-0.08,0.0
2013-06-30,7.16,$-0.20,0.0
2013-03-31,2.53,$-0.23,0.0
2012-12-31,2.26,$-0.31,0.0
2012-09-30,1.95,$-0.31,0.0
2012-06-30,2.09,$-0.26,0.0
2012-03-31,2.48,$-0.24,0.0
2011-12-31,1.9,$-0.21,0.0
2011-09-30,1.63,$-0.28,0.0
2011-06-30,1.94,$0.23,8.39
2011-03-31,1.85,$-0.27,0.0
