R1 RCM Price to Free Cash Flow Ratio Historical Data,R1 RCM Price to Free Cash Flow Ratio Historical Data,R1 RCM Price to Free Cash Flow Ratio Historical Data,R1 RCM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.23,,32.36
2024-06-30,12.56,$0.44,28.56
2024-03-31,12.88,$-1.07,0.0
2023-12-31,10.57,$0.52,20.2
2023-09-30,15.07,$0.29,52.71
2023-06-30,18.45,$0.22,82.44
2023-03-31,15.0,$-0.29,0.0
2022-12-31,10.95,$-0.29,0.0
2022-09-30,18.53,$-0.09,0.0
2022-06-30,20.96,$0.05,400.76
2022-03-31,26.76,$0.68,39.21
2021-12-31,25.49,$0.77,33.13
2021-09-30,22.01,$0.58,38.19
2021-06-30,22.24,$0.33,68.14
2021-03-31,24.68,$0.29,85.78
2020-12-31,24.02,$0.06,395.72
2020-09-30,17.15,$0.54,31.53
2020-06-30,11.15,$0.45,24.53
2020-03-31,9.09,$-0.11,0.0
2019-12-31,12.98,$0.47,27.36
2019-09-30,8.93,$0.10,89.3
2019-06-30,12.58,$0.30,41.74
2019-03-31,9.67,$0.50,19.42
2018-12-31,7.95,$-0.14,0.0
2018-09-30,10.16,$-0.03,0.0
2018-06-30,8.68,$-0.01,0.0
2018-03-31,7.14,$0.12,61.6
2017-12-31,4.41,$-0.12,0.0
