Agilysys Price to Free Cash Flow Ratio Historical Data,Agilysys Price to Free Cash Flow Ratio Historical Data,Agilysys Price to Free Cash Flow Ratio Historical Data,Agilysys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.62,,82.37
2024-03-31,84.26,$1.51,55.69
2023-12-31,84.82,$0.91,93.42
2023-09-30,66.16,$0.94,70.41
2023-06-30,68.64,$0.93,73.51
2023-03-31,82.51,$1.05,78.58
2022-12-31,79.14,$0.79,99.77
2022-09-30,55.35,$1.15,48.03
2022-06-30,47.27,$1.07,44.16
2022-03-31,39.88,$1.19,33.45
2021-12-31,44.46,$1.25,35.71
2024-06-30,104.14,$0.99,105.14
2021-09-30,52.36,$1.32,39.62
2021-06-30,56.87,$1.15,49.43
2021-03-31,47.96,$1.05,45.49
2020-12-31,38.38,$0.63,61.09
2020-09-30,24.16,$0.37,66.08
2020-03-31,16.7,$0.31,54.22
2019-12-31,25.41,$0.39,64.54
2019-09-30,25.61,$0.04,570.38
2019-06-30,21.47,$0.15,143.9
2019-03-31,21.17,$0.17,125.56
2020-06-30,17.94,$-0.31,0.0
2018-12-31,14.34,$0.01,0.0
2018-09-30,16.3,$-0.07,0.0
2018-06-30,15.5,$-0.23,0.0
2018-03-31,11.92,$0.01,0.0
2017-12-31,12.28,$-0.25,0.0
2017-03-31,9.45,$-0.56,0.0
2016-12-31,10.36,$-0.48,0.0
2016-09-30,11.12,$-0.59,0.0
2016-06-30,10.47,$-0.27,0.0
2016-03-31,10.21,$-0.22,0.0
2017-09-30,11.95,$-0.45,0.0
2015-12-31,9.99,$-0.34,0.0
2015-09-30,11.12,$-0.65,0.0
2015-06-30,9.18,$-0.80,0.0
2015-03-31,9.84,$-1.01,0.0
2014-12-31,12.59,$-0.90,0.0
2014-09-30,11.73,$-0.93,0.0
2014-06-30,14.08,$-0.89,0.0
2014-03-31,13.4,$-0.73,0.0
2013-12-31,13.92,$-0.74,0.0
2013-09-30,11.92,$-0.43,0.0
2013-06-30,11.29,$-0.25,0.0
2013-03-31,9.94,$-0.78,0.0
2012-12-31,8.37,$-0.32,0.0
2012-09-30,8.6,$-0.82,0.0
2012-06-30,8.67,$-1.78,0.0
2012-03-31,8.99,$-1.22,0.0
2011-12-31,7.95,$-1.21,0.0
2011-09-30,7.13,$-1.10,0.0
2011-06-30,8.34,$-0.14,0.0
2011-03-31,5.74,$0.20,28.69
2017-06-30,10.12,$-1.17,0.0
2010-12-31,5.63,$0.87,6.5
2010-09-30,6.5,$-0.08,0.0
2010-06-30,6.69,$-0.17,0.0
2010-03-31,11.17,$4.01,2.79
2009-12-31,9.11,$-1.65,0.0
