Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.76,,0.0
2024-06-30,22.27,$-4.60,0.0
2024-03-31,25.69,$0.06,436.94
2023-12-31,30.6,$1.25,24.5
2023-09-30,26.96,$-0.50,0.0
2023-06-30,35.2,$0.67,52.9
2023-03-31,28.32,$2.04,13.86
2022-12-31,28.75,$2.83,10.16
2022-09-30,22.97,$2.99,7.69
2022-06-30,29.64,$2.98,9.95
2022-03-31,28.96,$2.67,10.84
2021-12-31,30.59,$3.18,9.61
2021-09-30,26.29,$4.24,6.19
2021-06-30,31.25,$4.31,7.26
2021-03-31,24.88,$2.10,11.87
2020-12-31,21.87,$4.06,5.38
2020-09-30,18.24,$3.21,5.69
2020-06-30,13.23,$0.96,13.84
2019-12-31,15.02,$1.03,14.65
2019-09-30,12.24,$3.07,3.98
2019-06-30,19.26,$1.75,11.01
2019-03-31,29.51,$3.75,7.87
2018-12-31,22.27,$5.97,3.73
2020-03-31,7.48,$2.58,2.9
2018-09-30,30.87,$3.68,8.4
2018-06-30,34.53,$3.04,11.36
2018-03-31,37.79,$1.70,22.25
2017-12-31,38.7,$2.11,18.34
2017-09-30,39.1,$2.10,18.6
2017-03-31,29.71,$1.54,19.29
2016-12-31,17.03,$1.40,12.2
2016-09-30,12.32,$1.45,8.48
2016-06-30,6.33,$-2.55,0.0
2016-03-31,5.36,$-2.15,0.0
